"強度
\
波段",dark skin,,
,,Algorithm,Regression
380,0.048,0.0327,0.0191
381,0.0486,0.0334,0.0194
382,0.0492,0.034,0.0198
383,0.0498,0.0346,0.0201
384,0.0504,0.0352,0.0204
385,0.051,0.0358,0.0208
386,0.0518,0.0366,0.0212
387,0.0526,0.0374,0.0216
388,0.0534,0.0381,0.022
389,0.0542,0.0389,0.0225
390,0.055,0.0396,0.0229
391,0.056,0.0404,0.0233
392,0.057,0.0412,0.0238
393,0.058,0.0419,0.0242
394,0.059,0.0427,0.0247
395,0.06,0.0435,0.0251
396,0.061,0.0441,0.0255
397,0.062,0.0448,0.0259
398,0.063,0.0454,0.0263
399,0.064,0.0461,0.0267
400,0.065,0.0468,0.0271
401,0.0656,0.0468,0.0274
402,0.0662,0.0469,0.0277
403,0.0668,0.0469,0.0279
404,0.0674,0.047,0.0282
405,0.068,0.047,0.0285
406,0.068,0.0467,0.0287
407,0.068,0.0464,0.0289
408,0.068,0.0461,0.0291
409,0.068,0.0458,0.0293
410,0.068,0.0455,0.0295
411,0.0678,0.0452,0.0297
412,0.0676,0.0449,0.0298
413,0.0674,0.0447,0.03
414,0.0672,0.0444,0.0302
415,0.067,0.0441,0.0304
416,0.0664,0.0439,0.0305
417,0.0658,0.0437,0.0307
418,0.0652,0.0435,0.0309
419,0.0646,0.0434,0.031
420,0.064,0.0432,0.0312
421,0.0636,0.0431,0.0314
422,0.0632,0.0431,0.0317
423,0.0628,0.0431,0.0319
424,0.0624,0.043,0.0322
425,0.062,0.043,0.0324
426,0.0614,0.0431,0.0327
427,0.0608,0.0432,0.0329
428,0.0602,0.0433,0.0332
429,0.0596,0.0433,0.0335
430,0.059,0.0434,0.0337
431,0.0586,0.0436,0.0341
432,0.0582,0.0437,0.0344
433,0.0578,0.0438,0.0347
434,0.0574,0.044,0.0351
435,0.057,0.0441,0.0354
436,0.0566,0.0443,0.0358
437,0.0562,0.0444,0.0362
438,0.0558,0.0446,0.0366
439,0.0554,0.0448,0.037
440,0.055,0.045,0.0374
441,0.0548,0.0452,0.0379
442,0.0546,0.0454,0.0383
443,0.0544,0.0456,0.0388
444,0.0542,0.0458,0.0392
445,0.054,0.046,0.0396
446,0.0538,0.0461,0.0401
447,0.0536,0.0463,0.0405
448,0.0534,0.0464,0.0409
449,0.0532,0.0465,0.0414
450,0.053,0.0467,0.0418
451,0.053,0.0467,0.0422
452,0.053,0.0468,0.0426
453,0.053,0.0468,0.043
454,0.053,0.0469,0.0434
455,0.053,0.0469,0.0438
456,0.0528,0.0469,0.0442
457,0.0526,0.0469,0.0446
458,0.0524,0.0468,0.045
459,0.0522,0.0468,0.0454
460,0.052,0.0468,0.0459
461,0.052,0.0468,0.0464
462,0.052,0.0469,0.0469
463,0.052,0.0469,0.0474
464,0.052,0.0469,0.0479
465,0.052,0.0469,0.0484
466,0.052,0.0469,0.0489
467,0.052,0.047,0.0494
468,0.052,0.047,0.0499
469,0.052,0.047,0.0504
470,0.052,0.047,0.0509
471,0.0522,0.047,0.0514
472,0.0524,0.047,0.0519
473,0.0526,0.047,0.0524
474,0.0528,0.0471,0.053
475,0.053,0.0471,0.0535
476,0.0532,0.0471,0.054
477,0.0534,0.0471,0.0544
478,0.0536,0.0472,0.0549
479,0.0538,0.0472,0.0554
480,0.054,0.0472,0.0559
481,0.0542,0.0473,0.0562
482,0.0544,0.0473,0.0566
483,0.0546,0.0473,0.057
484,0.0548,0.0474,0.0573
485,0.055,0.0474,0.0577
486,0.0554,0.0476,0.058
487,0.0558,0.0477,0.0582
488,0.0562,0.0478,0.0585
489,0.0566,0.0479,0.0587
490,0.057,0.0481,0.059
491,0.0574,0.0483,0.0592
492,0.0578,0.0486,0.0594
493,0.0582,0.0489,0.0596
494,0.0586,0.0492,0.0598
495,0.059,0.0494,0.06
496,0.0594,0.05,0.0602
497,0.0598,0.0506,0.0604
498,0.0602,0.0511,0.0606
499,0.0606,0.0517,0.0607
500,0.061,0.0522,0.0609
501,0.0612,0.053,0.0611
502,0.0614,0.0538,0.0613
503,0.0616,0.0546,0.0614
504,0.0618,0.0554,0.0616
505,0.062,0.0562,0.0618
506,0.0626,0.0572,0.062
507,0.0632,0.0582,0.0622
508,0.0638,0.0592,0.0625
509,0.0644,0.0602,0.0627
510,0.065,0.0612,0.0629
511,0.0654,0.0623,0.0632
512,0.0658,0.0634,0.0634
513,0.0662,0.0645,0.0637
514,0.0666,0.0656,0.064
515,0.067,0.0667,0.0643
516,0.0676,0.0677,0.0646
517,0.0682,0.0687,0.0649
518,0.0688,0.0697,0.0652
519,0.0694,0.0707,0.0656
520,0.07,0.0717,0.0659
521,0.0704,0.0723,0.0662
522,0.0708,0.073,0.0665
523,0.0712,0.0736,0.0669
524,0.0716,0.0743,0.0672
525,0.072,0.0749,0.0675
526,0.0724,0.0753,0.0679
527,0.0728,0.0756,0.0683
528,0.0732,0.076,0.0687
529,0.0736,0.0763,0.069
530,0.074,0.0767,0.0694
531,0.0742,0.0769,0.0698
532,0.0744,0.077,0.0702
533,0.0746,0.0772,0.0706
534,0.0748,0.0774,0.071
535,0.075,0.0775,0.0714
536,0.0752,0.0776,0.0718
537,0.0754,0.0777,0.0722
538,0.0756,0.0777,0.0726
539,0.0758,0.0778,0.073
540,0.076,0.0778,0.0734
541,0.0764,0.0778,0.0737
542,0.0768,0.0777,0.074
543,0.0772,0.0777,0.0743
544,0.0776,0.0776,0.0746
545,0.078,0.0775,0.0749
546,0.0782,0.0773,0.0751
547,0.0784,0.0771,0.0753
548,0.0786,0.0769,0.0755
549,0.0788,0.0767,0.0756
550,0.079,0.0764,0.0758
551,0.0796,0.0761,0.076
552,0.0802,0.0758,0.0761
553,0.0808,0.0755,0.0762
554,0.0814,0.0752,0.0763
555,0.082,0.0749,0.0765
556,0.083,0.0745,0.0766
557,0.084,0.0742,0.0768
558,0.085,0.0738,0.0769
559,0.086,0.0734,0.0771
560,0.087,0.0731,0.0772
561,0.088,0.0728,0.0774
562,0.089,0.0724,0.0776
563,0.09,0.0721,0.0778
564,0.091,0.0718,0.0779
565,0.092,0.0714,0.0781
566,0.0936,0.0713,0.0783
567,0.0952,0.0711,0.0786
568,0.0968,0.0709,0.0788
569,0.0984,0.0708,0.079
570,0.1,0.0706,0.0793
571,0.1014,0.0707,0.0795
572,0.1028,0.0707,0.0798
573,0.1042,0.0708,0.0801
574,0.1056,0.0709,0.0804
575,0.107,0.0709,0.0806
576,0.1086,0.0712,0.081
577,0.1102,0.0715,0.0813
578,0.1118,0.0718,0.0816
579,0.1134,0.072,0.082
580,0.115,0.0723,0.0823
581,0.1164,0.0729,0.0828
582,0.1178,0.0736,0.0833
583,0.1192,0.0742,0.0837
584,0.1206,0.0748,0.0842
585,0.122,0.0754,0.0847
586,0.1234,0.0762,0.0852
587,0.1248,0.077,0.0857
588,0.1262,0.0778,0.0863
589,0.1276,0.0786,0.0868
590,0.129,0.0794,0.0873
591,0.13,0.0803,0.0879
592,0.131,0.0812,0.0884
593,0.132,0.0822,0.089
594,0.133,0.0831,0.0895
595,0.134,0.084,0.0901
596,0.1348,0.085,0.0908
597,0.1356,0.0861,0.0914
598,0.1364,0.0872,0.0921
599,0.1372,0.0883,0.0928
600,0.138,0.0893,0.0934
601,0.1388,0.0906,0.0942
602,0.1396,0.0918,0.095
603,0.1404,0.0931,0.0958
604,0.1412,0.0944,0.0966
605,0.142,0.0956,0.0974
606,0.1428,0.097,0.0983
607,0.1436,0.0984,0.0992
608,0.1444,0.0998,0.1
609,0.1452,0.1012,0.1009
610,0.146,0.1026,0.1018
611,0.1468,0.1041,0.1028
612,0.1476,0.1055,0.1037
613,0.1484,0.1069,0.1046
614,0.1492,0.1083,0.1056
615,0.15,0.1098,0.1065
616,0.1508,0.1111,0.1074
617,0.1516,0.1124,0.1082
618,0.1524,0.1138,0.1091
619,0.1532,0.1151,0.11
620,0.154,0.1165,0.1108
621,0.1548,0.1177,0.1116
622,0.1556,0.1189,0.1124
623,0.1564,0.1202,0.1132
624,0.1572,0.1214,0.1139
625,0.158,0.1227,0.1147
626,0.159,0.1236,0.1153
627,0.16,0.1246,0.1159
628,0.161,0.1256,0.1165
629,0.162,0.1265,0.1171
630,0.163,0.1275,0.1177
631,0.1638,0.1282,0.1181
632,0.1646,0.1289,0.1185
633,0.1654,0.1296,0.1189
634,0.1662,0.1303,0.1193
635,0.167,0.131,0.1197
636,0.1682,0.1315,0.1199
637,0.1694,0.1321,0.1202
638,0.1706,0.1326,0.1205
639,0.1718,0.1332,0.1207
640,0.173,0.1337,0.121
641,0.1744,0.1342,0.1212
642,0.1758,0.1347,0.1214
643,0.1772,0.1352,0.1216
644,0.1786,0.1357,0.1218
645,0.18,0.1362,0.1221
646,0.1816,0.1367,0.1222
647,0.1832,0.1371,0.1224
648,0.1848,0.1375,0.1225
649,0.1864,0.138,0.1227
650,0.188,0.1384,0.1229
651,0.1896,0.1387,0.1229
652,0.1912,0.1391,0.1229
653,0.1928,0.1394,0.123
654,0.1944,0.1397,0.123
655,0.196,0.14,0.1231
656,0.1976,0.1403,0.1231
657,0.1992,0.1406,0.1231
658,0.2008,0.1409,0.1231
659,0.2024,0.1412,0.1231
660,0.204,0.1415,0.1231
661,0.2058,0.1418,0.123
662,0.2076,0.1421,0.123
663,0.2094,0.1424,0.123
664,0.2112,0.1427,0.123
665,0.213,0.143,0.123
666,0.2148,0.1434,0.123
667,0.2166,0.1437,0.1231
668,0.2184,0.1441,0.1231
669,0.2202,0.1444,0.1231
670,0.222,0.1448,0.1232
671,0.2238,0.1453,0.1233
672,0.2256,0.1458,0.1234
673,0.2274,0.1463,0.1235
674,0.2292,0.1468,0.1237
675,0.231,0.1473,0.1238
676,0.2332,0.1479,0.124
677,0.2354,0.1485,0.1242
678,0.2376,0.1492,0.1244
679,0.2398,0.1498,0.1246
680,0.242,0.1504,0.1248
681,0.2438,0.1511,0.125
682,0.2456,0.1518,0.1252
683,0.2474,0.1525,0.1254
684,0.2492,0.1531,0.1256
685,0.251,0.1538,0.1258
686,0.253,0.1546,0.1261
