"強度
\
波段",Purple,,
,,Algorithm,Regression
380,0.101,0.0341,0.0263
381,0.1038,0.0351,0.0272
382,0.1066,0.0362,0.0282
383,0.1094,0.0372,0.0291
384,0.1122,0.0383,0.0301
385,0.115,0.0394,0.031
386,0.119,0.0408,0.0323
387,0.123,0.0422,0.0336
388,0.127,0.0437,0.0349
389,0.131,0.0451,0.0362
390,0.135,0.0465,0.0376
391,0.1394,0.0482,0.0392
392,0.1438,0.05,0.0408
393,0.1482,0.0517,0.0424
394,0.1526,0.0534,0.044
395,0.157,0.0552,0.0456
396,0.161,0.057,0.0473
397,0.165,0.0588,0.049
398,0.169,0.0606,0.0507
399,0.173,0.0624,0.0524
400,0.177,0.0642,0.0541
401,0.1798,0.0655,0.0554
402,0.1826,0.0667,0.0567
403,0.1854,0.068,0.058
404,0.1882,0.0693,0.0593
405,0.191,0.0706,0.0606
406,0.1926,0.0713,0.0615
407,0.1942,0.0721,0.0623
408,0.1958,0.0728,0.0631
409,0.1974,0.0735,0.0639
410,0.199,0.0743,0.0648
411,0.1998,0.0748,0.0653
412,0.2006,0.0753,0.0659
413,0.2014,0.0758,0.0665
414,0.2022,0.0763,0.0671
415,0.203,0.0769,0.0677
416,0.2036,0.0772,0.0681
417,0.2042,0.0776,0.0685
418,0.2048,0.078,0.0689
419,0.2054,0.0784,0.0694
420,0.206,0.0787,0.0698
421,0.2044,0.0791,0.0702
422,0.2028,0.0795,0.0706
423,0.2012,0.0799,0.0711
424,0.1996,0.0803,0.0715
425,0.198,0.0806,0.0719
426,0.1964,0.0811,0.0724
427,0.1948,0.0816,0.0729
428,0.1932,0.0821,0.0734
429,0.1916,0.0826,0.0739
430,0.19,0.083,0.0744
431,0.1878,0.0836,0.075
432,0.1856,0.0841,0.0755
433,0.1834,0.0846,0.0761
434,0.1812,0.0851,0.0766
435,0.179,0.0857,0.0772
436,0.1768,0.0863,0.0778
437,0.1746,0.0869,0.0785
438,0.1724,0.0875,0.0791
439,0.1702,0.0881,0.0798
440,0.168,0.0887,0.0804
441,0.1656,0.0892,0.081
442,0.1632,0.0898,0.0817
443,0.1608,0.0904,0.0823
444,0.1584,0.091,0.0829
445,0.156,0.0916,0.0835
446,0.1536,0.0919,0.084
447,0.1512,0.0923,0.0844
448,0.1488,0.0926,0.0849
449,0.1464,0.093,0.0853
450,0.144,0.0934,0.0857
451,0.1416,0.0934,0.0859
452,0.1392,0.0934,0.0861
453,0.1368,0.0935,0.0863
454,0.1344,0.0935,0.0865
455,0.132,0.0936,0.0867
456,0.1296,0.0934,0.0868
457,0.1272,0.0931,0.0868
458,0.1248,0.0929,0.0869
459,0.1224,0.0927,0.0869
460,0.12,0.0925,0.0869
461,0.118,0.0922,0.0868
462,0.116,0.0918,0.0867
