"強度
\
波段",Yellow green,,
,,Algorithm,Regression
380,0.056,0.0614,0.0715
381,0.0564,0.0621,0.0726
382,0.0568,0.0628,0.0737
383,0.0572,0.0635,0.0748
384,0.0576,0.0642,0.0759
385,0.058,0.0649,0.077
386,0.0582,0.0655,0.0782
387,0.0584,0.0662,0.0794
388,0.0586,0.0669,0.0806
389,0.0588,0.0675,0.0818
390,0.059,0.0682,0.0831
391,0.059,0.0686,0.084
392,0.059,0.069,0.085
393,0.059,0.0693,0.086
394,0.059,0.0697,0.087
395,0.059,0.0701,0.088
396,0.0592,0.0702,0.0885
397,0.0594,0.0703,0.0891
398,0.0596,0.0704,0.0897
399,0.0598,0.0705,0.0903
400,0.06,0.0706,0.0909
401,0.0602,0.0699,0.0901
402,0.0604,0.0692,0.0893
403,0.0606,0.0685,0.0884
404,0.0608,0.0677,0.0876
405,0.061,0.067,0.0868
406,0.061,0.0659,0.0851
407,0.061,0.0648,0.0834
408,0.061,0.0637,0.0817
409,0.061,0.0625,0.0801
410,0.061,0.0614,0.0784
411,0.061,0.0603,0.0766
412,0.061,0.0592,0.0749
413,0.061,0.0581,0.0731
414,0.061,0.057,0.0714
415,0.061,0.0559,0.0696
416,0.0612,0.0552,0.0684
417,0.0614,0.0545,0.0671
418,0.0616,0.0538,0.0659
419,0.0618,0.0531,0.0646
420,0.062,0.0524,0.0634
421,0.0622,0.052,0.0626
422,0.0624,0.0516,0.0618
423,0.0626,0.0512,0.061
424,0.0628,0.0508,0.0602
425,0.063,0.0504,0.0594
426,0.0632,0.0504,0.0589
427,0.0634,0.0503,0.0585
428,0.0636,0.0503,0.0581
429,0.0638,0.0502,0.0577
430,0.064,0.0502,0.0573
431,0.0644,0.0502,0.0569
432,0.0648,0.0501,0.0565
433,0.0652,0.0501,0.0561
434,0.0656,0.0501,0.0557
435,0.066,0.0501,0.0553
436,0.0664,0.0501,0.0549
437,0.0668,0.0501,0.0545
438,0.0672,0.0501,0.0541
439,0.0676,0.0501,0.0537
440,0.068,0.0501,0.0534
441,0.0686,0.0503,0.0531
442,0.0692,0.0504,0.0528
443,0.0698,0.0506,0.0525
444,0.0704,0.0507,0.0522
