"強度
\
波段",Orange yellow,,
,,Algorithm,Regression
380,0.06,0.0695,0.0768
381,0.0602,0.0704,0.078
382,0.0604,0.0712,0.0791
383,0.0606,0.0721,0.0803
384,0.0608,0.0729,0.0814
385,0.061,0.0737,0.0826
386,0.0614,0.0747,0.084
387,0.0618,0.0757,0.0854
388,0.0622,0.0767,0.0868
389,0.0626,0.0777,0.0882
390,0.063,0.0787,0.0896
391,0.0632,0.0795,0.0908
392,0.0634,0.0802,0.092
393,0.0636,0.081,0.0932
394,0.0638,0.0817,0.0944
395,0.064,0.0824,0.0956
396,0.0642,0.0829,0.0964
397,0.0644,0.0833,0.0972
398,0.0646,0.0837,0.098
399,0.0648,0.0842,0.0988
400,0.065,0.0846,0.0995
401,0.065,0.084,0.0989
402,0.065,0.0835,0.0982
403,0.065,0.0829,0.0975
404,0.065,0.0823,0.0968
405,0.065,0.0818,0.0961
406,0.0648,0.0807,0.0945
407,0.0646,0.0797,0.0929
408,0.0644,0.0786,0.0913
409,0.0642,0.0776,0.0897
410,0.064,0.0765,0.0881
411,0.064,0.0756,0.0866
412,0.064,0.0746,0.085
413,0.064,0.0737,0.0835
414,0.064,0.0727,0.0819
415,0.064,0.0718,0.0804
416,0.064,0.0711,0.0792
417,0.064,0.0703,0.078
418,0.064,0.0696,0.0768
419,0.064,0.0689,0.0756
420,0.064,0.0682,0.0744
421,0.064,0.0677,0.0735
422,0.064,0.0673,0.0727
423,0.064,0.0668,0.0719
424,0.064,0.0663,0.0711
425,0.064,0.0659,0.0702
426,0.064,0.0656,0.0696
427,0.064,0.0652,0.069
428,0.064,0.0649,0.0684
429,0.064,0.0646,0.0677
430,0.064,0.0643,0.0671
431,0.0642,0.064,0.0665
432,0.0644,0.0638,0.066
433,0.0646,0.0635,0.0654
434,0.0648,0.0633,0.0649
435,0.065,0.063,0.0643
436,0.065,0.0628,0.0637
437,0.065,0.0625,0.0631
438,0.065,0.0623,0.0625
439,0.065,0.062,0.0619
440,0.065,0.0618,0.0613
441,0.0652,0.0616,0.0608
442,0.0654,0.0615,0.0603
443,0.0656,0.0613,0.0598
444,0.0658,0.0612,0.0593
445,0.066,0.061,0.0587
446,0.0662,0.061,0.0584
447,0.0664,0.0609,0.058
448,0.0666,0.0609,0.0576
449,0.0668,0.0608,0.0572
450,0.067,0.0607,0.0568
451,0.0672,0.0607,0.0566
452,0.0674,0.0608,0.0565
453,0.0676,0.0608,0.0563
454,0.0678,0.0608,0.0561
455,0.068,0.0608,0.0559
456,0.0682,0.061,0.056
457,0.0684,0.0612,0.056
458,0.0686,0.0614,0.0561
459,0.0688,0.0616,0.0562
460,0.069,0.0618,0.0562
461,0.0698,0.0624,0.0568
462,0.0706,0.063,0.0573
463,0.0714,0.0636,0.0579
464,0.0722,0.0642,0.0584
465,0.073,0.0648,0.059
466,0.0738,0.0656,0.0598
467,0.0746,0.0664,0.0607
468,0.0754,0.0672,0.0615
469,0.0762,0.068,0.0624
470,0.077,0.0688,0.0632
471,0.0784,0.0701,0.0645
472,0.0798,0.0713,0.0658
473,0.0812,0.0726,0.0672
474,0.0826,0.0738,0.0685
475,0.084,0.075,0.0698
476,0.0856,0.0766,0.0714
477,0.0872,0.0781,0.073
478,0.0888,0.0796,0.0746
479,0.0904,0.0811,0.0763
480,0.092,0.0827,0.0779
481,0.0936,0.0844,0.0798
482,0.0952,0.0862,0.0817
483,0.0968,0.0879,0.0836
484,0.0984,0.0897,0.0854
485,0.1,0.0914,0.0873
486,0.1014,0.0935,0.0895
487,0.1028,0.0955,0.0917
488,0.1042,0.0975,0.0938
489,0.1056,0.0995,0.096
490,0.107,0.1016,0.0982
491,0.1086,0.1039,0.1006
492,0.1102,0.1062,0.103
493,0.1118,0.1086,0.1055
494,0.1134,0.1109,0.1079
495,0.115,0.1133,0.1103
496,0.1166,0.116,0.1132
497,0.1182,0.1188,0.116
498,0.1198,0.1215,0.1188
499,0.1214,0.1243,0.1216
500,0.123,0.127,0.1244
