"強度
\
波段",Blue,,
,,Algorithm,Regression
380,0.069,0.0472,0.0498
381,0.0714,0.0491,0.052
382,0.0738,0.0511,0.0542
383,0.0762,0.053,0.0564
384,0.0786,0.055,0.0586
385,0.081,0.0569,0.0608
386,0.084,0.0596,0.0639
387,0.087,0.0622,0.0669
388,0.09,0.0649,0.07
389,0.093,0.0676,0.0731
390,0.096,0.0703,0.0761
391,0.0996,0.0737,0.08
392,0.1032,0.0771,0.0839
393,0.1068,0.0806,0.0878
394,0.1104,0.084,0.0916
395,0.114,0.0875,0.0955
396,0.1184,0.0912,0.0997
397,0.1228,0.095,0.1038
398,0.1272,0.0988,0.108
399,0.1316,0.1026,0.1121
400,0.136,0.1063,0.1163
401,0.14,0.1096,0.1196
402,0.144,0.1128,0.123
403,0.148,0.1161,0.1263
404,0.152,0.1193,0.1297
405,0.156,0.1226,0.1331
406,0.1598,0.1249,0.1353
407,0.1636,0.1272,0.1375
408,0.1674,0.1296,0.1397
409,0.1712,0.1319,0.1419
410,0.175,0.1343,0.1441
411,0.1786,0.136,0.1455
412,0.1822,0.1378,0.147
413,0.1858,0.1396,0.1485
414,0.1894,0.1413,0.15
415,0.193,0.1431,0.1515
416,0.196,0.1444,0.1525
417,0.199,0.1457,0.1536
418,0.202,0.147,0.1546
419,0.205,0.1483,0.1556
420,0.208,0.1496,0.1567
421,0.2112,0.1507,0.1576
422,0.2144,0.1519,0.1585
423,0.2176,0.153,0.1595
424,0.2208,0.1542,0.1604
425,0.224,0.1553,0.1613
426,0.228,0.1566,0.1623
427,0.232,0.1579,0.1633
428,0.236,0.1592,0.1644
429,0.24,0.1605,0.1654
430,0.244,0.1618,0.1664
431,0.2482,0.1631,0.1675
432,0.2524,0.1645,0.1687
433,0.2566,0.1659,0.1698
434,0.2608,0.1673,0.1709
435,0.265,0.1686,0.172
436,0.27,0.1701,0.1733
437,0.275,0.1717,0.1745
438,0.28,0.1732,0.1758
439,0.285,0.1747,0.177
440,0.29,0.1763,0.1783
441,0.2952,0.1777,0.1795
442,0.3004,0.1792,0.1807
443,0.3056,0.1806,0.1818
444,0.3108,0.1821,0.183
445,0.316,0.1835,0.1842
446,0.3198,0.1845,0.1849
447,0.3236,0.1854,0.1857
448,0.3274,0.1863,0.1865
449,0.3312,0.1872,0.1872
450,0.335,0.1882,0.188
451,0.3364,0.1883,0.1882
452,0.3378,0.1885,0.1883
453,0.3392,0.1886,0.1885
454,0.3406,0.1888,0.1887
455,0.342,0.189,0.1889
456,0.3412,0.1885,0.1887
457,0.3404,0.1881,0.1884
458,0.3396,0.1876,0.1882
459,0.3388,0.1872,0.188
460,0.338,0.1868,0.1877
461,0.3352,0.1858,0.1871
462,0.3324,0.1847,0.1864
463,0.3296,0.1837,0.1858
464,0.3268,0.1827,0.1851
465,0.324,0.1817,0.1845
466,0.3196,0.1802,0.1834
467,0.3152,0.1787,0.1823
468,0.3108,0.1771,0.1813
469,0.3064,0.1756,0.1802
470,0.302,0.1741,0.1791
471,0.2962,0.1719,0.1775
472,0.2904,0.1698,0.1758
473,0.2846,0.1676,0.1742
474,0.2788,0.1654,0.1725
475,0.273,0.1633,0.1709
476,0.2662,0.1605,0.1686
477,0.2594,0.1578,0.1664
478,0.2526,0.155,0.1641
479,0.2458,0.1522,0.1618
480,0.239,0.1495,0.1596
481,0.2322,0.1466,0.1571
482,0.2254,0.1436,0.1545
483,0.2186,0.1407,0.152
484,0.2118,0.1378,0.1495
485,0.205,0.1348,0.147
486,0.1984,0.1317,0.1441
487,0.1918,0.1285,0.1412
488,0.1852,0.1253,0.1383
489,0.1786,0.1221,0.1354
490,0.172,0.119,0.1325
491,0.1664,0.116,0.1296
492,0.1608,0.113,0.1266
493,0.1552,0.1101,0.1237
494,0.1496,0.1071,0.1208
495,0.144,0.1042,0.1179
496,0.1392,0.1014,0.1149
497,0.1344,0.0986,0.112
498,0.1296,0.0958,0.109
499,0.1248,0.093,0.106
500,0.12,0.0902,0.1031
501,0.1162,0.0876,0.1001
502,0.1124,0.085,0.0971
503,0.1086,0.0824,0.0942
504,0.1048,0.0798,0.0912
505,0.101,0.0772,0.0882
506,0.098,0.0747,0.0852
507,0.095,0.0723,0.0823
508,0.092,0.0698,0.0793
509,0.089,0.0674,0.0763
510,0.086,0.0649,0.0733
511,0.0836,0.0625,0.0703
512,0.0812,0.06,0.0672
513,0.0788,0.0576,0.0642
514,0.0764,0.0552,0.0611
515,0.074,0.0528,0.0581
516,0.0724,0.0505,0.0552
517,0.0708,0.0483,0.0523
518,0.0692,0.0461,0.0495
519,0.0676,0.0438,0.0466
520,0.066,0.0416,0.0437
521,0.0646,0.0396,0.0411
522,0.0632,0.0376,0.0386
523,0.0618,0.0356,0.036
524,0.0604,0.0336,0.0334
525,0.059,0.0316,0.0308
526,0.058,0.03,0.0288
527,0.057,0.0285,0.0268
528,0.056,0.0269,0.0248
529,0.055,0.0253,0.0228
530,0.054,0.0238,0.0208
531,0.0534,0.0226,0.0193
532,0.0528,0.0215,0.0178
533,0.0522,0.0203,0.0163
534,0.0516,0.0192,0.0148
535,0.051,0.018,0.0133
536,0.0504,0.0171,0.0121
537,0.0498,0.0162,0.0109
538,0.0492,0.0153,0.0097
539,0.0486,0.0144,0.0085
540,0.048,0.0135,0.0074
541,0.0476,0.013,0.0066
542,0.0472,0.0124,0.0059
543,0.0468,0.0119,0.0052
544,0.0464,0.0113,0.0044
545,0.046,0.0108,0.0037
546,0.0458,0.0103,0.0031
547,0.0456,0.0099,0.0025
548,0.0454,0.0095,0.0019
549,0.0452,0.009,0.0013
550,0.045,0.0086,0.0007
551,0.0448,0.0082,0.0002
552,0.0446,0.0078,-0.0004
553,0.0444,0.0074,-0.001
554,0.0442,0.007,-0.0015
555,0.044,0.0067,-0.0021
556,0.0438,0.0064,-0.0025
557,0.0436,0.0061,-0.003
558,0.0434,0.0058,-0.0034
559,0.0432,0.0055,-0.0039
560,0.043,0.0053,-0.0044
561,0.0428,0.0051,-0.0047
562,0.0426,0.0049,-0.005
563,0.0424,0.0047,-0.0054
564,0.0422,0.0046,-0.0057
565,0.042,0.0044,-0.0061
566,0.0418,0.0044,-0.0062
567,0.0416,0.0043,-0.0064
568,0.0414,0.0043,-0.0065
569,0.0412,0.0043,-0.0067
570,0.041,0.0043,-0.0068
571,0.041,0.0044,-0.0068
572,0.041,0.0045,-0.0067
573,0.041,0.0047,-0.0067
574,0.041,0.0048,-0.0066
575,0.041,0.005,-0.0066
576,0.0408,0.0052,-0.0063
577,0.0406,0.0054,-0.006
578,0.0404,0.0056,-0.0058
579,0.0402,0.0058,-0.0055
580,0.04,0.006,-0.0053
581,0.04,0.0063,-0.0049
582,0.04,0.0066,-0.0044
583,0.04,0.0069,-0.004
584,0.04,0.0071,-0.0036
585,0.04,0.0074,-0.0032
586,0.04,0.0077,-0.0027
587,0.04,0.008,-0.0022
588,0.04,0.0082,-0.0017
589,0.04,0.0085,-0.0012
590,0.04,0.0087,-0.0007
591,0.04,0.009,-0.0002
592,0.04,0.0092,0.0003
593,0.04,0.0094,0.0008
594,0.04,0.0096,0.0013
595,0.04,0.0099,0.0018
596,0.0398,0.0101,0.0023
597,0.0396,0.0102,0.0028
598,0.0394,0.0104,0.0034
599,0.0392,0.0106,0.0039
600,0.039,0.0108,0.0044
601,0.039,0.0111,0.005
602,0.039,0.0113,0.0056
603,0.039,0.0115,0.0062
604,0.039,0.0118,0.0068
605,0.039,0.012,0.0074
606,0.0392,0.0123,0.0081
607,0.0394,0.0127,0.0087
608,0.0396,0.013,0.0094
609,0.0398,0.0133,0.0101
610,0.04,0.0136,0.0107
611,0.04,0.014,0.0113
612,0.04,0.0143,0.012
613,0.04,0.0146,0.0126
614,0.04,0.0149,0.0132
615,0.04,0.0152,0.0138
616,0.04,0.0155,0.0143
617,0.04,0.0158,0.0149
618,0.04,0.016,0.0154
619,0.04,0.0163,0.0159
620,0.04,0.0166,0.0165
621,0.04,0.0169,0.017
622,0.04,0.0173,0.0175
623,0.04,0.0176,0.018
624,0.04,0.0179,0.0185
625,0.04,0.0183,0.0191
626,0.0402,0.0187,0.0197
627,0.0404,0.0192,0.0202
628,0.0406,0.0196,0.0208
629,0.0408,0.0201,0.0214
630,0.041,0.0205,0.022
631,0.041,0.021,0.0225
632,0.041,0.0214,0.023
633,0.041,0.0219,0.0235
634,0.041,0.0223,0.0241
635,0.041,0.0227,0.0246
636,0.0412,0.0233,0.0252
637,0.0414,0.0239,0.0259
638,0.0416,0.0246,0.0265
639,0.0418,0.0252,0.0272
640,0.042,0.0258,0.0278
641,0.042,0.0264,0.0285
642,0.042,0.0271,0.0292
643,0.042,0.0278,0.0299
644,0.042,0.0284,0.0306
645,0.042,0.0291,0.0313
646,0.042,0.0297,0.032
647,0.042,0.0304,0.0327
648,0.042,0.0311,0.0334
649,0.042,0.0317,0.0341
650,0.042,0.0324,0.0347
651,0.0422,0.0332,0.0355
652,0.0424,0.0339,0.0363
653,0.0426,0.0347,0.0371
654,0.0428,0.0355,0.0379
655,0.043,0.0363,0.0387
656,0.043,0.0369,0.0393
657,0.043,0.0376,0.04
658,0.043,0.0383,0.0407
659,0.043,0.0389,0.0414
660,0.043,0.0396,0.042
661,0.043,0.0402,0.0426
662,0.043,0.0407,0.0432
663,0.043,0.0413,0.0438
664,0.043,0.0419,0.0444
665,0.043,0.0424,0.045
666,0.0432,0.0429,0.0455
667,0.0434,0.0433,0.0459
668,0.0436,0.0438,0.0464
669,0.0438,0.0443,0.0468
670,0.044,0.0447,0.0473
671,0.044,0.0449,0.0476
672,0.044,0.0452,0.0478
673,0.044,0.0454,0.0481
674,0.044,0.0456,0.0483
675,0.044,0.0459,0.0486
676,0.044,0.046,0.0487
677,0.044,0.0461,0.0488
678,0.044,0.0462,0.0489
679,0.044,0.0463,0.0489
680,0.044,0.0464,0.049
681,0.044,0.0465,0.0491
682,0.044,0.0465,0.0491
683,0.044,0.0466,0.0491
684,0.044,0.0466,0.0491
685,0.044,0.0467,0.0491
686,0.0442,0.0467,0.0491
687,0.0444,0.0467,0.049
688,0.0446,0.0468,0.049
689,0.0448,0.0468,0.0489
690,0.045,0.0468,0.0489
691,0.0452,0.0468,0.0488
692,0.0454,0.0469,0.0487
693,0.0456,0.0469,0.0486
694,0.0458,0.0469,0.0485
695,0.046,0.0469,0.0483
696,0.0464,0.047,0.0482
697,0.0468,0.0471,0.0481
698,0.0472,0.0471,0.048
699,0.0476,0.0472,0.0479
700,0.048,0.0472,0.0479
701,0.0484,0.0474,0.0479
702,0.0488,0.0476,0.0479
703,0.0492,0.0478,0.0479
704,0.0496,0.048,0.0479
705,0.05,0.0481,0.0479
706,0.0502,0.0483,0.0479
707,0.0504,0.0484,0.0479
708,0.0506,0.0486,0.0479
709,0.0508,0.0487,0.0479
710,0.051,0.0489,0.048
711,0.0514,0.0492,0.0482
712,0.0518,0.0496,0.0484
713,0.0522,0.05,0.0486
714,0.0526,0.0503,0.0489
715,0.053,0.0507,0.0491
716,0.0536,0.0512,0.0494
717,0.0542,0.0517,0.0497
718,0.0548,0.0521,0.05
719,0.0554,0.0526,0.0503
720,0.056,0.0531,0.0506
721,0.0568,0.0537,0.0511
722,0.0576,0.0543,0.0515
723,0.0584,0.0549,0.052
724,0.0592,0.0555,0.0524
725,0.06,0.0561,0.0529
726,0.0608,0.0568,0.0534
727,0.0616,0.0575,0.0539
728,0.0624,0.0582,0.0544
729,0.0632,0.0589,0.055
730,0.064,0.0596,0.0555
731,0.0652,0.0605,0.0562
732,0.0664,0.0615,0.057
733,0.0676,0.0625,0.0577
734,0.0688,0.0634,0.0585
735,0.07,0.0644,0.0592
736,0.0718,0.0656,0.0602
737,0.0736,0.0667,0.0611
738,0.0754,0.0679,0.0621
739,0.0772,0.0691,0.063
740,0.079,0.0703,0.0639
741,0.0814,0.0717,0.0651
742,0.0838,0.0731,0.0662
743,0.0862,0.0746,0.0674
744,0.0886,0.076,0.0685
745,0.091,0.0774,0.0697
746,0.0936,0.079,0.071
747,0.0962,0.0807,0.0723
748,0.0988,0.0823,0.0736
749,0.1014,0.0839,0.0749
750,0.104,0.0856,0.0762
751,0.1072,0.0875,0.0777
752,0.1104,0.0893,0.0793
753,0.1136,0.0912,0.0808
754,0.1168,0.0931,0.0823
755,0.12,0.095,0.0839
756,0.1236,0.097,0.0855
757,0.1272,0.099,0.0871
758,0.1308,0.101,0.0888
759,0.1344,0.103,0.0904
760,0.138,0.105,0.0921
761,0.1412,0.1065,0.0933
762,0.1444,0.108,0.0945
763,0.1476,0.1095,0.0957
