"強度
\
波段",Green,,
,,Algorithm,Regression
380,0.055,0.0412,0.0436
381,0.0552,0.042,0.0444
382,0.0554,0.0428,0.0452
383,0.0556,0.0436,0.046
384,0.0558,0.0444,0.0468
385,0.056,0.0452,0.0477
386,0.0562,0.0461,0.0486
387,0.0564,0.0471,0.0496
388,0.0566,0.048,0.0505
389,0.0568,0.049,0.0515
390,0.057,0.0499,0.0524
391,0.0572,0.0509,0.0535
392,0.0574,0.0519,0.0545
393,0.0576,0.0528,0.0555
394,0.0578,0.0538,0.0565
395,0.058,0.0548,0.0576
396,0.058,0.0557,0.0586
397,0.058,0.0566,0.0596
398,0.058,0.0575,0.0606
399,0.058,0.0584,0.0617
400,0.058,0.0593,0.0627
401,0.058,0.0596,0.0632
402,0.058,0.0599,0.0638
403,0.058,0.0603,0.0643
404,0.058,0.0606,0.0648
405,0.058,0.0609,0.0654
406,0.0582,0.0608,0.0656
407,0.0584,0.0606,0.0657
408,0.0586,0.0605,0.0659
409,0.0588,0.0604,0.0661
410,0.059,0.0603,0.0663
411,0.059,0.0601,0.0663
412,0.059,0.0598,0.0664
413,0.059,0.0596,0.0665
414,0.059,0.0594,0.0665
415,0.059,0.0592,0.0666
416,0.059,0.0591,0.0667
417,0.059,0.0589,0.0668
418,0.059,0.0588,0.0669
419,0.059,0.0587,0.067
420,0.059,0.0586,0.0671
421,0.0592,0.0587,0.0672
422,0.0594,0.0587,0.0674
423,0.0596,0.0588,0.0675
424,0.0598,0.0588,0.0676
425,0.06,0.0589,0.0678
426,0.0604,0.0592,0.0681
427,0.0608,0.0594,0.0685
428,0.0612,0.0597,0.0689
429,0.0616,0.06,0.0692
430,0.062,0.0603,0.0696
431,0.0622,0.0606,0.0699
432,0.0624,0.0609,0.0703
433,0.0626,0.0612,0.0706
434,0.0628,0.0615,0.0709
435,0.063,0.0618,0.0713
436,0.0634,0.0622,0.0717
437,0.0638,0.0625,0.0721
438,0.0642,0.0629,0.0725
439,0.0646,0.0633,0.0729
440,0.065,0.0637,0.0733
441,0.0654,0.0641,0.0737
442,0.0658,0.0645,0.0741
443,0.0662,0.0649,0.0746
444,0.0666,0.0654,0.075
445,0.067,0.0658,0.0754
446,0.0676,0.0661,0.0757
447,0.0682,0.0665,0.076
448,0.0688,0.0669,0.0763
449,0.0694,0.0673,0.0766
450,0.07,0.0676,0.0769
451,0.0708,0.0679,0.0769
452,0.0716,0.0681,0.0769
453,0.0724,0.0683,0.0769
454,0.0732,0.0685,0.0769
455,0.074,0.0688,0.0769
456,0.0748,0.0689,0.0766
457,0.0756,0.069,0.0763
458,0.0764,0.0691,0.076
459,0.0772,0.0692,0.0758
460,0.078,0.0693,0.0755
461,0.0792,0.0695,0.0751
462,0.0804,0.0696,0.0748
463,0.0816,0.0698,0.0744
464,0.0828,0.07,0.074
465,0.084,0.0701,0.0736
466,0.0854,0.0703,0.0733
467,0.0868,0.0705,0.0729
468,0.0882,0.0707,0.0725
469,0.0896,0.0709,0.0721
470,0.091,0.0711,0.0717
471,0.093,0.0715,0.0714
472,0.095,0.0719,0.0712
473,0.097,0.0723,0.0709
474,0.099,0.0727,0.0706
475,0.101,0.0731,0.0703
476,0.1034,0.0737,0.0702
477,0.1058,0.0742,0.0702
478,0.1082,0.0748,0.0701
479,0.1106,0.0754,0.07
480,0.113,0.076,0.0699
481,0.1154,0.0768,0.0702
482,0.1178,0.0776,0.0704
483,0.1202,0.0784,0.0707
484,0.1226,0.0792,0.0709
485,0.125,0.08,0.0711
486,0.128,0.0812,0.0719
487,0.131,0.0824,0.0727
488,0.134,0.0836,0.0735
489,0.137,0.0847,0.0743
490,0.14,0.0859,0.0751
491,0.1434,0.0875,0.0765
492,0.1468,0.0891,0.0779
493,0.1502,0.0907,0.0793
494,0.1536,0.0923,0.0807
495,0.157,0.0939,0.0821
496,0.1616,0.0963,0.0845
497,0.1662,0.0987,0.0869
498,0.1708,0.101,0.0893
499,0.1754,0.1034,0.0916
500,0.18,0.1057,0.094
501,0.1856,0.1086,0.0971
502,0.1912,0.1116,0.1002
503,0.1968,0.1145,0.1033
504,0.2024,0.1174,0.1064
505,0.208,0.1203,0.1095
506,0.2152,0.1236,0.1133
507,0.2224,0.127,0.117
508,0.2296,0.1304,0.1207
509,0.2368,0.1338,0.1244
510,0.244,0.1371,0.1281
511,0.2524,0.1407,0.132
512,0.2608,0.1442,0.136
513,0.2692,0.1478,0.14
514,0.2776,0.1514,0.1439
515,0.286,0.1549,0.1479
516,0.2936,0.1579,0.1513
517,0.3012,0.1609,0.1546
518,0.3088,0.1639,0.158
519,0.3164,0.1669,0.1614
520,0.324,0.1699,0.1648
521,0.3294,0.1719,0.167
522,0.3348,0.1739,0.1693
523,0.3402,0.1758,0.1715
524,0.3456,0.1778,0.1738
525,0.351,0.1798,0.176
526,0.3534,0.1805,0.1769
527,0.3558,0.1812,0.1778
528,0.3582,0.182,0.1787
529,0.3606,0.1827,0.1796
530,0.363,0.1835,0.1805
531,0.363,0.1833,0.1805
532,0.363,0.1831,0.1804
533,0.363,0.183,0.1803
534,0.363,0.1828,0.1803
535,0.363,0.1826,0.1802
536,0.3614,0.1819,0.1795
537,0.3598,0.1811,0.1788
538,0.3582,0.1803,0.1781
539,0.3566,0.1795,0.1773
540,0.355,0.1788,0.1766
541,0.3524,0.1775,0.1754
542,0.3498,0.1763,0.1743
543,0.3472,0.1751,0.1731
544,0.3446,0.1739,0.1719
545,0.342,0.1726,0.1707
546,0.3382,0.171,0.1692
547,0.3344,0.1694,0.1676
548,0.3306,0.1678,0.1661
549,0.3268,0.1662,0.1645
550,0.323,0.1646,0.163
551,0.319,0.163,0.1614
552,0.315,0.1614,0.1598
553,0.311,0.1597,0.1582
554,0.307,0.1581,0.1566
555,0.303,0.1564,0.155
556,0.2986,0.1546,0.1533
557,0.2942,0.1529,0.1515
558,0.2898,0.1511,0.1498
559,0.2854,0.1493,0.1481
560,0.281,0.1475,0.1463
561,0.2768,0.1457,0.1445
562,0.2726,0.1439,0.1427
563,0.2684,0.142,0.141
564,0.2642,0.1402,0.1392
565,0.26,0.1384,0.1374
566,0.2556,0.1366,0.1357
567,0.2512,0.1349,0.134
568,0.2468,0.1331,0.1323
569,0.2424,0.1314,0.1305
570,0.238,0.1296,0.1288
571,0.2338,0.1279,0.1273
572,0.2296,0.1263,0.1258
573,0.2254,0.1247,0.1242
574,0.2212,0.123,0.1227
575,0.217,0.1214,0.1211
