"強度
\
波段",Red,,
,,Algorithm,Regression
380,0.052,0.0419,0.0389
381,0.052,0.0425,0.0395
382,0.052,0.0431,0.0401
383,0.052,0.0438,0.0407
384,0.052,0.0444,0.0413
385,0.052,0.0451,0.0419
386,0.052,0.0459,0.0426
387,0.052,0.0467,0.0434
388,0.052,0.0475,0.0442
389,0.052,0.0483,0.0449
390,0.052,0.0491,0.0457
391,0.052,0.0498,0.0464
392,0.052,0.0505,0.0471
393,0.052,0.0512,0.0478
394,0.052,0.0519,0.0485
395,0.052,0.0526,0.0492
396,0.0518,0.0531,0.0497
397,0.0516,0.0535,0.0502
398,0.0514,0.0539,0.0507
399,0.0512,0.0544,0.0511
400,0.051,0.0548,0.0516
401,0.051,0.0543,0.0513
402,0.051,0.0537,0.051
403,0.051,0.0532,0.0507
404,0.051,0.0526,0.0503
405,0.051,0.0521,0.05
406,0.0508,0.0511,0.0494
407,0.0506,0.0502,0.0487
408,0.0504,0.0492,0.0481
409,0.0502,0.0482,0.0474
410,0.05,0.0473,0.0467
411,0.05,0.0466,0.0463
412,0.05,0.0458,0.0458
413,0.05,0.0451,0.0453
414,0.05,0.0444,0.0448
415,0.05,0.0437,0.0443
416,0.0498,0.0432,0.0439
417,0.0496,0.0426,0.0435
418,0.0494,0.0421,0.0432
419,0.0492,0.0416,0.0428
420,0.049,0.041,0.0424
421,0.049,0.0408,0.0422
422,0.049,0.0406,0.0419
423,0.049,0.0403,0.0417
424,0.049,0.0401,0.0415
425,0.049,0.0399,0.0412
426,0.049,0.0397,0.041
427,0.049,0.0396,0.0409
428,0.049,0.0395,0.0407
429,0.049,0.0393,0.0405
430,0.049,0.0392,0.0403
431,0.049,0.0391,0.0401
432,0.049,0.0391,0.04
433,0.049,0.039,0.0399
434,0.049,0.039,0.0397
435,0.049,0.0389,0.0396
436,0.049,0.0389,0.0395
437,0.049,0.039,0.0394
438,0.049,0.039,0.0393
439,0.049,0.039,0.0391
440,0.049,0.039,0.039
441,0.049,0.039,0.039
442,0.049,0.0391,0.0389
443,0.049,0.0391,0.0388
444,0.049,0.0391,0.0387
445,0.049,0.0392,0.0386
446,0.049,0.0392,0.0385
447,0.049,0.0392,0.0384
448,0.049,0.0392,0.0383
449,0.049,0.0393,0.0381
450,0.049,0.0393,0.038
451,0.0488,0.0393,0.0379
452,0.0486,0.0393,0.0378
453,0.0484,0.0393,0.0377
454,0.0482,0.0394,0.0375
455,0.048,0.0394,0.0374
456,0.048,0.0395,0.0373
457,0.048,0.0395,0.0372
458,0.048,0.0396,0.0372
459,0.048,0.0397,0.0371
460,0.048,0.0398,0.037
461,0.0478,0.0401,0.0371
462,0.0476,0.0404,0.0372
463,0.0474,0.0406,0.0372
464,0.0472,0.0409,0.0373
465,0.047,0.0412,0.0374
466,0.047,0.0414,0.0374
467,0.047,0.0416,0.0374
468,0.047,0.0419,0.0375
469,0.047,0.0421,0.0375
470,0.047,0.0423,0.0375
471,0.0468,0.0425,0.0375
472,0.0466,0.0427,0.0375
473,0.0464,0.0429,0.0375
474,0.0462,0.0431,0.0374
475,0.046,0.0433,0.0374
476,0.0458,0.0433,0.0372
477,0.0456,0.0433,0.037
478,0.0454,0.0432,0.0369
479,0.0452,0.0432,0.0367
480,0.045,0.0432,0.0365
