"強度
\
波段",Yellow,,
,,Algorithm,Regression
380,0.054,0.0645,0.0677
381,0.0538,0.0647,0.0681
382,0.0536,0.0649,0.0686
383,0.0534,0.065,0.069
384,0.0532,0.0652,0.0694
385,0.053,0.0654,0.0699
386,0.0532,0.0654,0.0703
387,0.0534,0.0655,0.0708
388,0.0536,0.0656,0.0712
389,0.0538,0.0656,0.0717
390,0.054,0.0657,0.0721
391,0.0538,0.0652,0.0722
392,0.0536,0.0648,0.0723
393,0.0534,0.0644,0.0724
394,0.0532,0.0639,0.0725
395,0.053,0.0635,0.0726
396,0.053,0.0628,0.0725
397,0.053,0.0622,0.0725
398,0.053,0.0615,0.0724
399,0.053,0.0609,0.0724
400,0.053,0.0602,0.0723
401,0.053,0.0594,0.072
402,0.053,0.0587,0.0717
403,0.053,0.0579,0.0714
404,0.053,0.0571,0.0711
405,0.053,0.0564,0.0708
406,0.053,0.0557,0.0702
407,0.053,0.0549,0.0697
408,0.053,0.0542,0.0691
409,0.053,0.0535,0.0685
410,0.053,0.0528,0.0679
411,0.0528,0.0521,0.0672
412,0.0526,0.0515,0.0665
413,0.0524,0.0509,0.0658
414,0.0522,0.0502,0.0652
415,0.052,0.0496,0.0645
416,0.052,0.0492,0.0639
417,0.052,0.0487,0.0634
418,0.052,0.0483,0.0628
419,0.052,0.0479,0.0623
420,0.052,0.0474,0.0617
421,0.052,0.0472,0.0612
422,0.052,0.047,0.0608
423,0.052,0.0468,0.0603
424,0.052,0.0465,0.0599
425,0.052,0.0463,0.0594
426,0.0522,0.0462,0.0591
427,0.0524,0.0462,0.0588
428,0.0526,0.0461,0.0585
429,0.0528,0.046,0.0583
430,0.053,0.0459,0.058
431,0.053,0.0459,0.0577
432,0.053,0.0459,0.0574
433,0.053,0.0459,0.0571
434,0.053,0.0458,0.0568
435,0.053,0.0458,0.0565
436,0.053,0.0458,0.0561
437,0.053,0.0458,0.0556
438,0.053,0.0457,0.0552
439,0.053,0.0457,0.0548
440,0.053,0.0456,0.0544
441,0.0532,0.0458,0.0541
442,0.0534,0.0459,0.0539
443,0.0536,0.0461,0.0536
444,0.0538,0.0463,0.0533
445,0.054,0.0464,0.053
446,0.0542,0.0468,0.0529
447,0.0544,0.0471,0.0527
448,0.0546,0.0474,0.0525
449,0.0548,0.0478,0.0523
450,0.055,0.0481,0.0522
451,0.0552,0.0486,0.052
452,0.0554,0.049,0.0519
453,0.0556,0.0495,0.0517
454,0.0558,0.0499,0.0516
455,0.056,0.0504,0.0515
456,0.0566,0.0511,0.0515
457,0.0572,0.0519,0.0515
458,0.0578,0.0526,0.0515
459,0.0584,0.0533,0.0515
460,0.059,0.054,0.0515
461,0.0602,0.0553,0.0519
462,0.0614,0.0566,0.0523
463,0.0626,0.0578,0.0527
464,0.0638,0.0591,0.0531
465,0.065,0.0604,0.0535
466,0.067,0.0621,0.0543
467,0.069,0.0638,0.0552
468,0.071,0.0655,0.0561
469,0.073,0.0672,0.057
470,0.075,0.0689,0.0578
471,0.0786,0.0715,0.0596
472,0.0822,0.0741,0.0613
473,0.0858,0.0767,0.063
474,0.0894,0.0794,0.0648
475,0.093,0.082,0.0665
476,0.0986,0.0854,0.0691
477,0.1042,0.0888,0.0717
478,0.1098,0.0922,0.0744
479,0.1154,0.0956,0.077
480,0.121,0.099,0.0796
481,0.1282,0.103,0.0831
482,0.1354,0.107,0.0866
483,0.1426,0.111,0.0901
484,0.1498,0.115,0.0936
485,0.157,0.119,0.0972
486,0.166,0.1238,0.1017
487,0.175,0.1286,0.1063
488,0.184,0.1334,0.1108
489,0.193,0.1382,0.1154
490,0.202,0.1429,0.12
491,0.212,0.1484,0.1255
492,0.222,0.1539,0.131
493,0.232,0.1593,0.1365
494,0.242,0.1648,0.142
495,0.252,0.1703,0.1475
496,0.2622,0.1765,0.154
497,0.2724,0.1827,0.1605
498,0.2826,0.189,0.167
499,0.2928,0.1952,0.1735
500,0.303,0.2014,0.18
501,0.3126,0.2082,0.1872
502,0.3222,0.215,0.1943
503,0.3318,0.2218,0.2015
504,0.3414,0.2286,0.2087
505,0.351,0.2353,0.2158
506,0.3596,0.2424,0.2232
507,0.3682,0.2494,0.2305
508,0.3768,0.2564,0.2379
509,0.3854,0.2634,0.2452
510,0.394,0.2704,0.2526
511,0.4024,0.2778,0.2603
512,0.4108,0.2852,0.268
513,0.4192,0.2926,0.2756
514,0.4276,0.3,0.2833
515,0.436,0.3074,0.291
516,0.4438,0.3143,0.2981
517,0.4516,0.3212,0.3051
518,0.4594,0.3281,0.3122
519,0.4672,0.335,0.3192
520,0.475,0.3418,0.3263
521,0.4824,0.3481,0.3328
522,0.4898,0.3545,0.3393
523,0.4972,0.3608,0.3458
524,0.5046,0.3671,0.3523
525,0.512,0.3734,0.3588
526,0.5184,0.3788,0.3644
527,0.5248,0.3842,0.37
528,0.5312,0.3896,0.3756
529,0.5376,0.395,0.3812
530,0.544,0.4003,0.3868
531,0.5496,0.4051,0.3919
532,0.5552,0.4099,0.3969
533,0.5608,0.4147,0.402
534,0.5664,0.4194,0.4071
535,0.572,0.4242,0.4121
536,0.577,0.4286,0.4169
537,0.582,0.433,0.4217
538,0.587,0.4374,0.4265
539,0.592,0.4418,0.4313
540,0.597,0.4463,0.4361
541,0.6006,0.4496,0.4399
542,0.6042,0.4529,0.4437
543,0.6078,0.4562,0.4474
544,0.6114,0.4596,0.4512
545,0.615,0.4629,0.455
546,0.618,0.4655,0.4582
547,0.621,0.4682,0.4614
548,0.624,0.4708,0.4646
549,0.627,0.4735,0.4678
550,0.63,0.4761,0.471
551,0.633,0.4784,0.4738
552,0.636,0.4806,0.4766
553,0.639,0.4829,0.4794
554,0.642,0.4852,0.4823
555,0.645,0.4875,0.4851
556,0.648,0.4895,0.4877
557,0.651,0.4916,0.4902
558,0.654,0.4937,0.4928
559,0.657,0.4958,0.4954
560,0.66,0.4979,0.4979
561,0.6626,0.4998,0.5004
562,0.6652,0.5018,0.5028
563,0.6678,0.5038,0.5053
564,0.6704,0.5058,0.5077
565,0.673,0.5077,0.5101
566,0.6756,0.5097,0.5126
567,0.6782,0.5117,0.515
568,0.6808,0.5137,0.5175
569,0.6834,0.5157,0.5199
