"強度
\
波段",Magenta,,
,,Algorithm,Regression
380,0.118,0.085,0.0934
381,0.1228,0.0878,0.0962
382,0.1276,0.0905,0.0991
383,0.1324,0.0933,0.1019
384,0.1372,0.0961,0.1048
385,0.142,0.0989,0.1076
386,0.1494,0.1027,0.1115
387,0.1568,0.1066,0.1155
388,0.1642,0.1105,0.1194
389,0.1716,0.1143,0.1233
390,0.179,0.1182,0.1272
391,0.1888,0.1229,0.1319
392,0.1986,0.1275,0.1366
393,0.2084,0.1322,0.1412
394,0.2182,0.1368,0.1459
395,0.228,0.1414,0.1506
396,0.239,0.1462,0.1554
397,0.25,0.151,0.1602
398,0.261,0.1558,0.165
399,0.272,0.1605,0.1698
400,0.283,0.1653,0.1746
401,0.2908,0.1687,0.1779
402,0.2986,0.172,0.1811
403,0.3064,0.1754,0.1843
404,0.3142,0.1787,0.1876
405,0.322,0.182,0.1908
406,0.3262,0.1838,0.1925
407,0.3304,0.1856,0.1942
408,0.3346,0.1873,0.1958
409,0.3388,0.1891,0.1975
410,0.343,0.1909,0.1991
411,0.3452,0.1918,0.2001
412,0.3474,0.1928,0.201
413,0.3496,0.1937,0.202
414,0.3518,0.1946,0.2029
415,0.354,0.1956,0.2039
416,0.355,0.196,0.2043
417,0.356,0.1964,0.2048
418,0.357,0.1968,0.2052
419,0.358,0.1972,0.2056
420,0.359,0.1976,0.2061
421,0.3586,0.1975,0.2061
422,0.3582,0.1975,0.2061
423,0.3578,0.1975,0.2062
424,0.3574,0.1975,0.2062
425,0.357,0.1974,0.2062
426,0.3556,0.1973,0.2063
427,0.3542,0.1973,0.2064
428,0.3528,0.1972,0.2064
429,0.3514,0.1971,0.2065
430,0.35,0.1971,0.2066
431,0.3478,0.1969,0.2066
432,0.3456,0.1968,0.2065
433,0.3434,0.1967,0.2065
434,0.3412,0.1965,0.2065
435,0.339,0.1964,0.2065
436,0.3366,0.1962,0.2064
437,0.3342,0.196,0.2064
438,0.3318,0.1957,0.2063
439,0.3294,0.1955,0.2063
440,0.327,0.1953,0.2062
441,0.3242,0.195,0.206
442,0.3214,0.1947,0.2059
443,0.3186,0.1944,0.2057
444,0.3158,0.1941,0.2056
445,0.313,0.1938,0.2054
446,0.31,0.1931,0.2048
447,0.307,0.1925,0.2042
448,0.304,0.1918,0.2036
449,0.301,0.1911,0.2029
450,0.298,0.1904,0.2023
451,0.2948,0.1893,0.2011
452,0.2916,0.1882,0.1999
453,0.2884,0.1871,0.1987
454,0.2852,0.186,0.1975
455,0.282,0.185,0.1963
456,0.279,0.1835,0.1946
457,0.276,0.1821,0.1929
458,0.273,0.1807,0.1913
459,0.27,0.1793,0.1896
460,0.267,0.1779,0.1879
461,0.2642,0.1763,0.1858
462,0.2614,0.1746,0.1838
463,0.2586,0.1729,0.1817
464,0.2558,0.1712,0.1797
465,0.253,0.1695,0.1776
466,0.2502,0.1676,0.1752
467,0.2474,0.1656,0.1728
468,0.2446,0.1637,0.1703
469,0.2418,0.1617,0.1679
470,0.239,0.1598,0.1655
471,0.2362,0.1573,0.1625
472,0.2334,0.1549,0.1596
473,0.2306,0.1525,0.1566
474,0.2278,0.1501,0.1536
475,0.225,0.1476,0.1507
476,0.2218,0.1447,0.1472
477,0.2186,0.1418,0.1437
478,0.2154,0.1389,0.1402
479,0.2122,0.136,0.1368
480,0.209,0.1331,0.1333
481,0.2062,0.1302,0.1299
482,0.2034,0.1273,0.1265
483,0.2006,0.1244,0.1231
484,0.1978,0.1215,0.1197
485,0.195,0.1186,0.1163
486,0.1924,0.1156,0.1129
487,0.1898,0.1125,0.1094
488,0.1872,0.1095,0.106
489,0.1846,0.1064,0.1025
490,0.182,0.1033,0.0991
491,0.18,0.1005,0.096
492,0.178,0.0976,0.093
493,0.176,0.0948,0.0899
494,0.174,0.0919,0.0869
495,0.172,0.0891,0.0838
496,0.1702,0.0863,0.0811
497,0.1684,0.0835,0.0784
498,0.1666,0.0807,0.0757
499,0.1648,0.0779,0.0729
500,0.163,0.0752,0.0702
501,0.1614,0.0725,0.0678
502,0.1598,0.0698,0.0654
503,0.1582,0.0671,0.063
504,0.1566,0.0644,0.0606
505,0.155,0.0617,0.0582
506,0.1532,0.0591,0.056
507,0.1514,0.0564,0.0539
508,0.1496,0.0538,0.0517
509,0.1478,0.0512,0.0496
510,0.146,0.0485,0.0474
511,0.1438,0.0458,0.0453
512,0.1416,0.043,0.0431
513,0.1394,0.0403,0.0409
514,0.1372,0.0376,0.0388
515,0.135,0.0348,0.0366
516,0.1328,0.0324,0.0347
517,0.1306,0.03,0.0329
518,0.1284,0.0276,0.031
519,0.1262,0.0252,0.0291
520,0.124,0.0227,0.0272
521,0.1218,0.0208,0.0255
522,0.1196,0.0188,0.0239
523,0.1174,0.0169,0.0223
524,0.1152,0.0149,0.0206
525,0.113,0.0129,0.019
526,0.1116,0.012,0.0181
527,0.1102,0.011,0.0173
528,0.1088,0.01,0.0164
529,0.1074,0.009,0.0155
530,0.106,0.0081,0.0146
531,0.1052,0.0081,0.0146
532,0.1044,0.0081,0.0146
533,0.1036,0.0081,0.0146
534,0.1028,0.0082,0.0146
535,0.102,0.0082,0.0145
536,0.102,0.009,0.0152
537,0.102,0.0098,0.0158
538,0.102,0.0106,0.0165
539,0.102,0.0114,0.0171
540,0.102,0.0121,0.0178
541,0.1026,0.0136,0.019
542,0.1032,0.015,0.0202
543,0.1038,0.0164,0.0215
544,0.1044,0.0178,0.0227
545,0.105,0.0193,0.0239
546,0.1054,0.0209,0.0254
547,0.1058,0.0226,0.0268
548,0.1062,0.0242,0.0282
549,0.1066,0.0259,0.0296
550,0.107,0.0275,0.031
551,0.107,0.0289,0.0322
552,0.107,0.0304,0.0334
553,0.107,0.0318,0.0345
554,0.107,0.0332,0.0357
555,0.107,0.0346,0.0369
556,0.1068,0.036,0.038
557,0.1066,0.0374,0.0392
558,0.1064,0.0388,0.0403
559,0.1062,0.0402,0.0414
560,0.106,0.0416,0.0426
561,0.1062,0.0432,0.0439
562,0.1064,0.0448,0.0453
563,0.1066,0.0464,0.0466
564,0.1068,0.048,0.0479
565,0.107,0.0496,0.0493
566,0.108,0.0518,0.0512
567,0.109,0.054,0.0532
568,0.11,0.0561,0.0552
569,0.111,0.0583,0.0572
570,0.112,0.0605,0.0591
571,0.1142,0.0636,0.0621
572,0.1164,0.0666,0.0651
573,0.1186,0.0697,0.0681
574,0.1208,0.0727,0.071
575,0.123,0.0758,0.074
576,0.1266,0.08,0.0781
577,0.1302,0.0842,0.0823
578,0.1338,0.0884,0.0865
579,0.1374,0.0926,0.0906
580,0.141,0.0968,0.0948
581,0.146,0.1021,0.1002
582,0.151,0.1075,0.1056
583,0.156,0.1128,0.111
584,0.161,0.1182,0.1165
585,0.166,0.1235,0.1219
586,0.1724,0.1298,0.1283
587,0.1788,0.136,0.1347
588,0.1852,0.1423,0.1411
589,0.1916,0.1485,0.1475
590,0.198,0.1548,0.1538
591,0.2054,0.1616,0.1608
592,0.2128,0.1683,0.1678
593,0.2202,0.1751,0.1748
594,0.2276,0.1819,0.1818
595,0.235,0.1887,0.1887
596,0.2438,0.1957,0.196
597,0.2526,0.2028,0.2033
598,0.2614,0.2098,0.2106
599,0.2702,0.2169,0.2179
600,0.279,0.2239,0.2252
601,0.2898,0.2312,0.2328
602,0.3006,0.2385,0.2404
603,0.3114,0.2457,0.248
604,0.3222,0.253,0.2556
605,0.333,0.2602,0.2631
606,0.3452,0.2674,0.2707
607,0.3574,0.2746,0.2783
608,0.3696,0.2817,0.2859
609,0.3818,0.2889,0.2934
610,0.394,0.2961,0.301
611,0.4072,0.3028,0.3082
612,0.4204,0.3096,0.3154
613,0.4336,0.3164,0.3226
614,0.4468,0.3232,0.3298
615,0.46,0.3299,0.337
616,0.4724,0.3358,0.3433
617,0.4848,0.3416,0.3495
618,0.4972,0.3475,0.3558
619,0.5096,0.3533,0.3621
620,0.522,0.3592,0.3683
621,0.5336,0.3644,0.3739
622,0.5452,0.3696,0.3795
623,0.5568,0.3747,0.3851
624,0.5684,0.3799,0.3907
625,0.58,0.3851,0.3963
626,0.5896,0.3893,0.4008
627,0.5992,0.3935,0.4054
628,0.6088,0.3976,0.4099
629,0.6184,0.4018,0.4144
630,0.628,0.406,0.4189
631,0.6356,0.4092,0.4223
632,0.6432,0.4125,0.4258
633,0.6508,0.4157,0.4293
634,0.6584,0.4189,0.4328
635,0.666,0.4221,0.4362
636,0.672,0.4248,0.4391
637,0.678,0.4275,0.442
638,0.684,0.4302,0.4449
639,0.69,0.4329,0.4478
640,0.696,0.4356,0.4507
641,0.7012,0.4381,0.4534
642,0.7064,0.4407,0.4561
643,0.7116,0.4432,0.4588
644,0.7168,0.4457,0.4616
645,0.722,0.4482,0.4643
646,0.726,0.4504,0.4666
647,0.73,0.4526,0.469
648,0.734,0.4548,0.4713
649,0.738,0.457,0.4737
650,0.742,0.4592,0.476
651,0.7448,0.461,0.4779
652,0.7476,0.4627,0.4797
653,0.7504,0.4644,0.4816
654,0.7532,0.4661,0.4835
655,0.756,0.4679,0.4853
656,0.758,0.4692,0.4868
657,0.76,0.4705,0.4883
658,0.762,0.4719,0.4897
659,0.764,0.4732,0.4912
660,0.766,0.4746,0.4927
661,0.7676,0.4757,0.4939
662,0.7692,0.4768,0.4952
663,0.7708,0.478,0.4965
664,0.7724,0.4791,0.4978
