"強度
\
波段",Cyan,,
,,Algorithm,Regression
380,0.093,0.0491,0.0548
381,0.0964,0.051,0.0569
382,0.0998,0.053,0.059
383,0.1032,0.0549,0.0612
384,0.1066,0.0568,0.0633
385,0.11,0.0587,0.0654
386,0.1148,0.0613,0.0683
387,0.1196,0.064,0.0711
388,0.1244,0.0666,0.074
389,0.1292,0.0692,0.0769
390,0.134,0.0718,0.0797
391,0.14,0.0751,0.0833
392,0.146,0.0784,0.0869
393,0.152,0.0818,0.0906
394,0.158,0.0851,0.0942
395,0.164,0.0885,0.0978
396,0.1702,0.0921,0.1016
397,0.1764,0.0958,0.1055
398,0.1826,0.0994,0.1094
399,0.1888,0.1031,0.1132
400,0.195,0.1068,0.1171
401,0.2,0.1099,0.1203
402,0.205,0.1131,0.1234
403,0.21,0.1163,0.1265
404,0.215,0.1194,0.1297
405,0.22,0.1226,0.1328
406,0.2236,0.1249,0.135
407,0.2272,0.1273,0.1371
408,0.2308,0.1296,0.1392
409,0.2344,0.1319,0.1413
410,0.238,0.1342,0.1434
411,0.2402,0.136,0.1449
412,0.2424,0.1378,0.1464
413,0.2446,0.1395,0.1479
414,0.2468,0.1413,0.1494
415,0.249,0.1431,0.1509
416,0.2508,0.1445,0.152
417,0.2526,0.1458,0.1531
418,0.2544,0.1472,0.1543
419,0.2562,0.1486,0.1554
420,0.258,0.15,0.1565
421,0.2604,0.1514,0.1577
422,0.2628,0.1528,0.1588
423,0.2652,0.1542,0.1599
424,0.2676,0.1556,0.161
425,0.27,0.157,0.1622
426,0.2722,0.1586,0.1635
427,0.2744,0.1602,0.1649
428,0.2766,0.1618,0.1662
429,0.2788,0.1634,0.1675
430,0.281,0.165,0.1689
431,0.284,0.1668,0.1704
432,0.287,0.1686,0.1718
433,0.29,0.1703,0.1733
434,0.293,0.1721,0.1748
435,0.296,0.1739,0.1762
436,0.2998,0.1759,0.1779
437,0.3036,0.1778,0.1796
438,0.3074,0.1798,0.1812
439,0.3112,0.1818,0.1829
440,0.315,0.1838,0.1846
441,0.3188,0.1858,0.1862
442,0.3226,0.1878,0.1878
443,0.3264,0.1897,0.1895
444,0.3302,0.1917,0.1911
445,0.334,0.1937,0.1927
446,0.3376,0.1951,0.194
447,0.3412,0.1966,0.1952
448,0.3448,0.198,0.1964
449,0.3484,0.1995,0.1976
450,0.352,0.2009,0.1988
451,0.3556,0.2016,0.1993
