"強度
\
波段",White,,
,,Algorithm,Regression
380,0.153,0.1742,0.133
381,0.1602,0.1835,0.141
382,0.1674,0.1928,0.1489
383,0.1746,0.2021,0.1569
384,0.1818,0.2114,0.1648
385,0.189,0.2208,0.1728
386,0.2002,0.2353,0.1854
387,0.2114,0.2499,0.1981
388,0.2226,0.2645,0.2107
389,0.2338,0.2791,0.2234
390,0.245,0.2937,0.236
391,0.2598,0.3129,0.2529
392,0.2746,0.3321,0.2697
393,0.2894,0.3513,0.2866
394,0.3042,0.3704,0.3034
395,0.319,0.3896,0.3203
396,0.337,0.4125,0.3407
397,0.355,0.4354,0.3611
398,0.373,0.4583,0.3815
399,0.391,0.4812,0.4019
400,0.409,0.5041,0.4223
401,0.4344,0.5341,0.4497
402,0.4598,0.564,0.4771
403,0.4852,0.5939,0.5044
404,0.5106,0.6238,0.5318
405,0.536,0.6537,0.5592
406,0.563,0.6835,0.5867
407,0.59,0.7133,0.6141
408,0.617,0.7431,0.6416
409,0.644,0.7729,0.669
410,0.671,0.8027,0.6965
411,0.6912,0.8237,0.7162
412,0.7114,0.8448,0.736
413,0.7316,0.8658,0.7558
414,0.7518,0.8869,0.7755
415,0.772,0.9079,0.7953
416,0.7856,0.9216,0.8084
417,0.7992,0.9352,0.8216
418,0.8128,0.9489,0.8347
419,0.8264,0.9626,0.8478
420,0.84,0.9763,0.861
421,0.8456,0.9819,0.8675
422,0.8512,0.9875,0.8739
423,0.8568,0.9932,0.8804
424,0.8624,0.9988,0.8869
425,0.868,1.0045,0.8934
426,0.87,1.0065,0.8968
427,0.872,1.0086,0.9002
428,0.874,1.0107,0.9036
429,0.876,1.0127,0.907
430,0.878,1.0148,0.9104
431,0.8788,1.0159,0.9132
432,0.8796,1.0169,0.9161
433,0.8804,1.018,0.9189
434,0.8812,1.019,0.9218
435,0.882,1.0201,0.9246
436,0.8822,1.0206,0.9272
437,0.8824,1.0211,0.9298
438,0.8826,1.0216,0.9324
439,0.8828,1.0221,0.9349
440,0.883,1.0226,0.9375
441,0.8834,1.0233,0.9403
442,0.8838,1.024,0.9431
443,0.8842,1.0248,0.9459
444,0.8846,1.0255,0.9487
445,0.885,1.0263,0.9515
446,0.8852,1.0268,0.9539
447,0.8854,1.0273,0.9563
448,0.8856,1.0278,0.9587
449,0.8858,1.0284,0.9611
450,0.886,1.0289,0.9635
451,0.886,1.0293,0.9654
452,0.886,1.0298,0.9674
453,0.886,1.0302,0.9694
454,0.886,1.0306,0.9713
455,0.886,1.031,0.9733
456,0.8862,1.0318,0.9754
457,0.8864,1.0325,0.9775
458,0.8866,1.0333,0.9797
459,0.8868,1.034,0.9818
460,0.887,1.0348,0.9839
461,0.8872,1.0357,0.986
462,0.8874,1.0366,0.9881
463,0.8876,1.0375,0.9901
464,0.8878,1.0384,0.9922
465,0.888,1.0393,0.9942
466,0.888,1.0398,0.9957
467,0.888,1.0403,0.9971
468,0.888,1.0408,0.9986
469,0.888,1.0413,1.0001
470,0.888,1.0418,1.0015
471,0.888,1.0422,1.0026
472,0.888,1.0426,1.0037
473,0.888,1.0429,1.0048
474,0.888,1.0433,1.0059
475,0.888,1.0436,1.007
476,0.888,1.0436,1.0073
477,0.888,1.0435,1.0077
478,0.888,1.0435,1.0081
479,0.888,1.0434,1.0085
480,0.888,1.0434,1.0088
481,0.888,1.0427,1.0082
482,0.888,1.042,1.0076
483,0.888,1.0413,1.0071
484,0.888,1.0406,1.0065
485,0.888,1.0399,1.0059
486,0.888,1.0386,1.0041
487,0.888,1.0372,1.0023
488,0.888,1.0359,1.0005
489,0.888,1.0345,0.9987
490,0.888,1.0331,0.9969
491,0.888,1.0311,0.9941
492,0.888,1.029,0.9913
493,0.888,1.027,0.9885
494,0.888,1.025,0.9857
495,0.888,1.0229,0.9829
496,0.8878,1.02,0.9784
497,0.8876,1.017,0.9739
498,0.8874,1.014,0.9694
499,0.8872,1.0111,0.9649
500,0.887,1.0081,0.9604
501,0.887,1.0049,0.955
502,0.887,1.0016,0.9496
503,0.887,0.9983,0.9441
504,0.887,0.995,0.9387
505,0.887,0.9917,0.9333
506,0.887,0.9883,0.9269
507,0.887,0.9849,0.9206
508,0.887,0.9814,0.9142
509,0.887,0.978,0.9079
510,0.887,0.9746,0.9015
511,0.887,0.971,0.895
512,0.887,0.9674,0.8885
513,0.887,0.9638,0.8819
514,0.887,0.9603,0.8754
515,0.887,0.9567,0.8688
516,0.887,0.9533,0.8631
517,0.887,0.9499,0.8573
518,0.887,0.9465,0.8515
519,0.887,0.9431,0.8458
520,0.887,0.9397,0.84
521,0.887,0.9365,0.836
522,0.887,0.9332,0.8319
523,0.887,0.93,0.8279
524,0.887,0.9267,0.8238
525,0.887,0.9235,0.8197
526,0.887,0.9205,0.8176
527,0.887,0.9176,0.8154
528,0.887,0.9146,0.8133
529,0.887,0.9117,0.8112
530,0.887,0.9087,0.809
531,0.887,0.906,0.8082
532,0.887,0.9033,0.8074
533,0.887,0.9006,0.8066
534,0.887,0.8979,0.8057
535,0.887,0.8952,0.8049
536,0.887,0.8926,0.8049
537,0.887,0.8901,0.8049
538,0.887,0.8876,0.8049
539,0.887,0.885,0.8048
540,0.887,0.8825,0.8048
541,0.8868,0.8801,0.805
542,0.8866,0.8777,0.8053
543,0.8864,0.8753,0.8055
544,0.8862,0.8729,0.8057
545,0.886,0.8704,0.8059
546,0.886,0.8683,0.8065
547,0.886,0.8661,0.8071
548,0.886,0.864,0.8077
549,0.886,0.8618,0.8083
550,0.886,0.8597,0.8089
551,0.8862,0.8579,0.8098
552,0.8864,0.856,0.8108
553,0.8866,0.8542,0.8117
554,0.8868,0.8524,0.8127
555,0.887,0.8506,0.8136
556,0.887,0.8485,0.8147
557,0.887,0.8464,0.8159
558,0.887,0.8444,0.817
559,0.887,0.8423,0.8181
560,0.887,0.8403,0.8192
561,0.887,0.8384,0.8204
562,0.887,0.8365,0.8217
563,0.887,0.8347,0.8229
564,0.887,0.8328,0.8242
565,0.887,0.8309,0.8254
566,0.8872,0.8295,0.8267
567,0.8874,0.8281,0.8279
568,0.8876,0.8267,0.8292
569,0.8878,0.8253,0.8304
570,0.888,0.8239,0.8317
571,0.888,0.8228,0.8322
572,0.888,0.8216,0.8328
573,0.888,0.8205,0.8333
