"強度
\
波段",light skin,,
,,Algorithm,Regression
380,0.103,0.085,0.0938
381,0.1064,0.0873,0.0964
382,0.1098,0.0896,0.0989
383,0.1132,0.0919,0.1015
384,0.1166,0.0942,0.104
385,0.12,0.0965,0.1066
386,0.1242,0.0996,0.11
387,0.1284,0.1027,0.1134
388,0.1326,0.1058,0.1168
389,0.1368,0.1089,0.1202
390,0.141,0.112,0.1236
391,0.1454,0.1156,0.1275
392,0.1498,0.1191,0.1314
393,0.1542,0.1227,0.1353
394,0.1586,0.1263,0.1392
395,0.163,0.1298,0.143
396,0.1668,0.1334,0.1468
397,0.1706,0.1369,0.1506
398,0.1744,0.1405,0.1544
399,0.1782,0.144,0.1582
400,0.182,0.1476,0.162
401,0.184,0.1499,0.1641
402,0.186,0.1522,0.1663
403,0.188,0.1544,0.1684
404,0.19,0.1567,0.1705
405,0.192,0.159,0.1726
406,0.193,0.16,0.1732
407,0.194,0.161,0.1738
408,0.195,0.1621,0.1743
409,0.196,0.1631,0.1749
410,0.197,0.1641,0.1754
411,0.1974,0.1644,0.1753
412,0.1978,0.1647,0.1751
413,0.1982,0.165,0.175
414,0.1986,0.1654,0.1749
415,0.199,0.1657,0.1747
416,0.1994,0.1657,0.1744
417,0.1998,0.1658,0.1741
418,0.2002,0.1658,0.1738
419,0.2006,0.1659,0.1735
420,0.201,0.1659,0.1731
421,0.2014,0.1658,0.1727
422,0.2018,0.1656,0.1723
423,0.2022,0.1655,0.1718
424,0.2026,0.1653,0.1714
425,0.203,0.1652,0.171
426,0.2034,0.1651,0.1706
427,0.2038,0.165,0.1703
428,0.2042,0.1649,0.17
429,0.2046,0.1649,0.1697
430,0.205,0.1648,0.1694
431,0.2056,0.1647,0.1691
432,0.2062,0.1646,0.1687
433,0.2068,0.1645,0.1684
434,0.2074,0.1644,0.168
435,0.208,0.1643,0.1677
436,0.2088,0.1641,0.1673
437,0.2096,0.164,0.1669
438,0.2104,0.1639,0.1664
439,0.2112,0.1637,0.166
440,0.212,0.1636,0.1656
441,0.213,0.1635,0.1652
442,0.214,0.1633,0.1648
443,0.215,0.1632,0.1644
444,0.216,0.1631,0.1639
445,0.217,0.163,0.1635
446,0.2184,0.1627,0.163
447,0.2198,0.1624,0.1624
448,0.2212,0.1622,0.1618
449,0.2226,0.1619,0.1613
450,0.224,0.1617,0.1607
451,0.2254,0.1612,0.16
452,0.2268,0.1608,0.1593
453,0.2282,0.1604,0.1586
454,0.2296,0.16,0.1579
455,0.231,0.1596,0.1572
456,0.2328,0.1591,0.1564
457,0.2346,0.1586,0.1557
458,0.2364,0.1581,0.1549
459,0.2382,0.1576,0.1541
460,0.24,0.1571,0.1533
461,0.2422,0.1567,0.1526
462,0.2444,0.1563,0.1519
463,0.2466,0.1559,0.1512
464,0.2488,0.1555,0.1505
465,0.251,0.1551,0.1498
466,0.2532,0.1547,0.1491
467,0.2554,0.1543,0.1485
468,0.2576,0.1538,0.1478
469,0.2598,0.1534,0.1471
470,0.262,0.153,0.1465
471,0.2642,0.1526,0.1458
472,0.2664,0.1522,0.1452
473,0.2686,0.1519,0.1446
474,0.2708,0.1515,0.144
475,0.273,0.1511,0.1433
476,0.2748,0.1506,0.1427
477,0.2766,0.1502,0.1421
478,0.2784,0.1498,0.1414
479,0.2802,0.1493,0.1408
480,0.282,0.1489,0.1401
481,0.2834,0.1486,0.1398
482,0.2848,0.1484,0.1394
483,0.2862,0.1481,0.139
484,0.2876,0.1478,0.1387
485,0.289,0.1476,0.1383
486,0.2898,0.1474,0.1382
487,0.2906,0.1473,0.1381
488,0.2914,0.1472,0.138
489,0.2922,0.1471,0.1379
490,0.293,0.1469,0.1377
491,0.2936,0.1471,0.138
492,0.2942,0.1473,0.1383
493,0.2948,0.1475,0.1386
494,0.2954,0.1476,0.1389
495,0.296,0.1478,0.1391
496,0.297,0.1484,0.14
497,0.298,0.149,0.1409
498,0.299,0.1496,0.1417
499,0.3,0.1502,0.1426
500,0.301,0.1508,0.1435
501,0.3028,0.1517,0.1447
502,0.3046,0.1526,0.146
503,0.3064,0.1535,0.1473
504,0.3082,0.1544,0.1485
505,0.31,0.1553,0.1498
506,0.3122,0.1564,0.1514
507,0.3144,0.1575,0.1529
