"強度
\
波段",Neutral 5,,
,,Algorithm,Regression
380,0.113,0.0505,0.0421
381,0.1166,0.0518,0.0433
382,0.1202,0.0532,0.0445
383,0.1238,0.0546,0.0458
384,0.1274,0.056,0.047
385,0.131,0.0574,0.0482
386,0.1348,0.0592,0.0498
387,0.1386,0.061,0.0514
388,0.1424,0.0628,0.0531
389,0.1462,0.0646,0.0547
390,0.15,0.0664,0.0563
391,0.1538,0.0685,0.0583
392,0.1576,0.0706,0.0602
393,0.1614,0.0727,0.0621
394,0.1652,0.0748,0.0641
395,0.169,0.0769,0.066
396,0.1718,0.079,0.068
397,0.1746,0.0811,0.07
398,0.1774,0.0832,0.072
399,0.1802,0.0854,0.074
400,0.183,0.0875,0.0761
401,0.185,0.0888,0.0776
402,0.187,0.0902,0.0792
403,0.189,0.0915,0.0807
404,0.191,0.0929,0.0823
405,0.193,0.0942,0.0838
406,0.1942,0.0948,0.0849
407,0.1954,0.0955,0.0859
408,0.1966,0.0961,0.0869
409,0.1978,0.0967,0.0879
410,0.199,0.0973,0.0889
411,0.1994,0.0976,0.0896
412,0.1998,0.098,0.0903
413,0.2002,0.0983,0.091
414,0.2006,0.0986,0.0916
415,0.201,0.0989,0.0923
416,0.2012,0.0992,0.0928
417,0.2014,0.0994,0.0933
418,0.2016,0.0996,0.0938
419,0.2018,0.0999,0.0943
420,0.202,0.1001,0.0948
421,0.2022,0.1004,0.0952
422,0.2024,0.1007,0.0957
423,0.2026,0.101,0.0961
424,0.2028,0.1012,0.0966
425,0.203,0.1015,0.0971
426,0.203,0.102,0.0976
427,0.203,0.1024,0.0982
428,0.203,0.1029,0.0987
429,0.203,0.1033,0.0993
430,0.203,0.1038,0.0998
431,0.2032,0.1043,0.1004
432,0.2034,0.1048,0.101
433,0.2036,0.1053,0.1016
434,0.2038,0.1058,0.1022
435,0.204,0.1063,0.1028
436,0.2042,0.1068,0.1035
437,0.2044,0.1074,0.1042
438,0.2046,0.108,0.1049
439,0.2048,0.1086,0.1056
440,0.205,0.1091,0.1063
441,0.205,0.1097,0.107
442,0.205,0.1103,0.1077
443,0.205,0.1109,0.1084
444,0.205,0.1115,0.1091
445,0.205,0.1121,0.1099
446,0.205,0.1125,0.1104
447,0.205,0.1129,0.1109
448,0.205,0.1133,0.1115
449,0.205,0.1137,0.112
450,0.205,0.1141,0.1126
451,0.205,0.1142,0.1129
452,0.205,0.1143,0.1131
453,0.205,0.1144,0.1134
454,0.205,0.1145,0.1137
455,0.205,0.1146,0.114
456,0.2048,0.1145,0.1141
457,0.2046,0.1144,0.1142
458,0.2044,0.1143,0.1143
459,0.2042,0.1142,0.1145
460,0.204,0.1141,0.1146
461,0.204,0.1139,0.1146
462,0.204,0.1137,0.1147
463,0.204,0.1136,0.1147
464,0.204,0.1134,0.1148
465,0.204,0.1132,0.1148
466,0.2038,0.1129,0.1147
467,0.2036,0.1126,0.1146
468,0.2034,0.1123,0.1145
469,0.2032,0.112,0.1145
470,0.203,0.1116,0.1144
471,0.203,0.1112,0.1142
472,0.203,0.1108,0.114
473,0.203,0.1104,0.1138
474,0.203,0.11,0.1136
475,0.203,0.1096,0.1134
476,0.2028,0.1091,0.1131
