"強度
\
波段",Neutral 3.5,,
,,Algorithm,Regression
380,0.074,0.0294,0.0175
381,0.075,0.0302,0.018
382,0.076,0.0309,0.0185
383,0.077,0.0317,0.019
384,0.078,0.0324,0.0196
385,0.079,0.0332,0.0201
386,0.08,0.0342,0.0208
387,0.081,0.0352,0.0215
388,0.082,0.0361,0.0222
389,0.083,0.0371,0.0228
390,0.084,0.0381,0.0235
391,0.0848,0.0392,0.0244
392,0.0856,0.0404,0.0252
393,0.0864,0.0415,0.026
394,0.0872,0.0426,0.0269
395,0.088,0.0438,0.0277
396,0.0886,0.0449,0.0286
397,0.0892,0.0461,0.0295
398,0.0898,0.0472,0.0303
399,0.0904,0.0483,0.0312
400,0.091,0.0495,0.0321
401,0.0914,0.0502,0.0329
402,0.0918,0.0509,0.0336
403,0.0922,0.0515,0.0344
404,0.0926,0.0522,0.0352
405,0.093,0.0529,0.0359
406,0.0932,0.0532,0.0365
407,0.0934,0.0535,0.0371
408,0.0936,0.0538,0.0377
409,0.0938,0.0541,0.0383
410,0.094,0.0544,0.0388
411,0.094,0.0545,0.0393
412,0.094,0.0547,0.0398
413,0.094,0.0549,0.0402
414,0.094,0.0551,0.0407
415,0.094,0.0552,0.0411
416,0.094,0.0554,0.0415
417,0.094,0.0555,0.0419
418,0.094,0.0557,0.0422
419,0.094,0.0558,0.0426
420,0.094,0.056,0.043
421,0.094,0.0562,0.0434
422,0.094,0.0564,0.0439
423,0.094,0.0566,0.0443
424,0.094,0.0568,0.0447
425,0.094,0.057,0.0452
426,0.094,0.0573,0.0457
427,0.094,0.0576,0.0461
428,0.094,0.058,0.0466
429,0.094,0.0583,0.0471
430,0.094,0.0586,0.0476
431,0.0942,0.059,0.0481
432,0.0944,0.0593,0.0487
433,0.0946,0.0597,0.0493
434,0.0948,0.06,0.0498
435,0.095,0.0604,0.0504
436,0.095,0.0608,0.0511
437,0.095,0.0612,0.0517
438,0.095,0.0617,0.0524
439,0.095,0.0621,0.053
440,0.095,0.0625,0.0537
441,0.095,0.0629,0.0543
442,0.095,0.0633,0.055
443,0.095,0.0638,0.0557
444,0.095,0.0642,0.0564
445,0.095,0.0646,0.057
446,0.095,0.0649,0.0576
447,0.095,0.0652,0.0582
448,0.095,0.0655,0.0588
449,0.095,0.0658,0.0594
450,0.095,0.0661,0.06
451,0.0948,0.0662,0.0604
452,0.0946,0.0662,0.0609
453,0.0944,0.0663,0.0613
454,0.0942,0.0664,0.0618
455,0.094,0.0665,0.0622
456,0.094,0.0664,0.0626
457,0.094,0.0663,0.063
458,0.094,0.0662,0.0634
459,0.094,0.0661,0.0638
460,0.094,0.066,0.0642
461,0.094,0.0659,0.0646
462,0.094,0.0657,0.0649
463,0.094,0.0655,0.0653
464,0.094,0.0654,0.0657
465,0.094,0.0652,0.066
466,0.094,0.0649,0.0663
467,0.094,0.0647,0.0666
468,0.094,0.0644,0.0669
469,0.094,0.0641,0.0671
470,0.094,0.0639,0.0674
471,0.0938,0.0635,0.0676
472,0.0936,0.0632,0.0678
473,0.0934,0.0628,0.068
474,0.0932,0.0625,0.0682
475,0.093,0.0621,0.0684
476,0.093,0.0617,0.0685
477,0.093,0.0612,0.0686
478,0.093,0.0608,0.0687
479,0.093,0.0604,0.0688
480,0.093,0.06,0.0688
481,0.093,0.0595,0.0688
482,0.093,0.0591,0.0687
483,0.093,0.0587,0.0687
484,0.093,0.0583,0.0686
485,0.093,0.0579,0.0685
486,0.093,0.0576,0.0683
487,0.093,0.0572,0.0681
488,0.093,0.0569,0.0679
489,0.093,0.0565,0.0677
490,0.093,0.0562,0.0675
491,0.0928,0.056,0.0673
492,0.0926,0.0558,0.067
493,0.0924,0.0556,0.0668
494,0.0922,0.0555,0.0665
495,0.092,0.0553,0.0663
496,0.092,0.0554,0.066
497,0.092,0.0555,0.0657
498,0.092,0.0556,0.0654
499,0.092,0.0558,0.0652
500,0.092,0.0559,0.0649
501,0.0922,0.0562,0.0646
502,0.0924,0.0566,0.0643
503,0.0926,0.0569,0.064
504,0.0928,0.0573,0.0638
505,0.093,0.0576,0.0635
506,0.093,0.0582,0.0632
507,0.093,0.0587,0.063
508,0.093,0.0593,0.0627
509,0.093,0.0598,0.0624
510,0.093,0.0604,0.0622
511,0.093,0.061,0.0619
512,0.093,0.0617,0.0617
513,0.093,0.0623,0.0615
514,0.093,0.0629,0.0613
515,0.093,0.0636,0.0611
516,0.093,0.0641,0.0609
517,0.093,0.0646,0.0607
518,0.093,0.0651,0.0605
519,0.093,0.0656,0.0603
520,0.093,0.0662,0.0601
521,0.093,0.0664,0.0599
522,0.093,0.0666,0.0598
523,0.093,0.0669,0.0596
524,0.093,0.0671,0.0595
525,0.093,0.0673,0.0593
526,0.093,0.0673,0.0592
527,0.093,0.0672,0.0591
528,0.093,0.0672,0.0591
529,0.093,0.0671,0.059
530,0.093,0.0671,0.0589
531,0.093,0.0669,0.0588
532,0.093,0.0667,0.0587
533,0.093,0.0665,0.0587
534,0.093,0.0663,0.0586
535,0.093,0.066,0.0586
536,0.093,0.0657,0.0585
537,0.093,0.0654,0.0585
538,0.093,0.0651,0.0584
539,0.093,0.0647,0.0583
540,0.093,0.0644,0.0583
541,0.093,0.064,0.0582
542,0.093,0.0637,0.0581
543,0.093,0.0633,0.058
544,0.093,0.0629,0.0579
545,0.093,0.0625,0.0578
546,0.093,0.062,0.0576
547,0.093,0.0615,0.0575
548,0.093,0.061,0.0573
549,0.093,0.0605,0.0571
550,0.093,0.06,0.057
551,0.0928,0.0595,0.0568
552,0.0926,0.059,0.0566
553,0.0924,0.0584,0.0564
554,0.0922,0.0579,0.0563
555,0.092,0.0574,0.0561
556,0.0922,0.0568,0.0559
557,0.0924,0.0563,0.0558
558,0.0926,0.0557,0.0557
559,0.0928,0.0552,0.0556
560,0.093,0.0546,0.0554
561,0.093,0.0541,0.0553
562,0.093,0.0536,0.0552
563,0.093,0.053,0.0551
564,0.093,0.0525,0.055
565,0.093,0.052,0.0549
566,0.093,0.0515,0.0548
567,0.093,0.0511,0.0547
568,0.093,0.0507,0.0546
569,0.093,0.0503,0.0545
570,0.093,0.0498,0.0544
571,0.093,0.0496,0.0543
572,0.093,0.0493,0.0542
573,0.093,0.049,0.0541
574,0.093,0.0487,0.0539
575,0.093,0.0485,0.0538
576,0.093,0.0483,0.0537
577,0.093,0.0481,0.0535
578,0.093,0.0479,0.0533
579,0.093,0.0477,0.0532
580,0.093,0.0475,0.053
581,0.093,0.0474,0.0528
582,0.093,0.0474,0.0526
583,0.093,0.0474,0.0524
584,0.093,0.0473,0.0523
585,0.093,0.0473,0.0521
586,0.093,0.0473,0.0518
587,0.093,0.0473,0.0516
588,0.093,0.0474,0.0513
589,0.093,0.0474,0.0511
590,0.093,0.0474,0.0509
591,0.0928,0.0474,0.0506
592,0.0926,0.0474,0.0503
593,0.0924,0.0475,0.05
594,0.0922,0.0475,0.0497
595,0.092,0.0475,0.0494
596,0.092,0.0476,0.0491
597,0.092,0.0477,0.0488
598,0.092,0.0478,0.0486
599,0.092,0.0479,0.0483
600,0.092,0.048,0.0481
601,0.092,0.0482,0.0479
602,0.092,0.0484,0.0477
603,0.092,0.0487,0.0475
604,0.092,0.0489,0.0473
605,0.092,0.0491,0.0471
606,0.092,0.0495,0.047
607,0.092,0.0498,0.0469
608,0.092,0.0501,0.0468
609,0.092,0.0505,0.0467
610,0.092,0.0508,0.0466
611,0.0918,0.0512,0.0466
612,0.0916,0.0516,0.0465
613,0.0914,0.052,0.0465
614,0.0912,0.0524,0.0465
615,0.091,0.0527,0.0464
616,0.091,0.0531,0.0464
617,0.091,0.0536,0.0464
618,0.091,0.054,0.0464
619,0.091,0.0544,0.0464
620,0.091,0.0548,0.0465
621,0.091,0.0552,0.0465
622,0.091,0.0556,0.0465
623,0.091,0.0561,0.0465
624,0.091,0.0565,0.0466
625,0.091,0.0569,0.0466
626,0.0908,0.0573,0.0466
627,0.0906,0.0577,0.0467
628,0.0904,0.0581,0.0467
629,0.0902,0.0584,0.0468
630,0.09,0.0588,0.0468
631,0.09,0.0591,0.0469
632,0.09,0.0594,0.0469
633,0.09,0.0597,0.0469
634,0.09,0.0599,0.0469
635,0.09,0.0602,0.0469
636,0.09,0.0605,0.047
637,0.09,0.0608,0.047
638,0.09,0.0611,0.047
639,0.09,0.0614,0.0471
640,0.09,0.0617,0.0471
641,0.09,0.062,0.0471
642,0.09,0.0623,0.0472
643,0.09,0.0626,0.0472
644,0.09,0.0629,0.0473
645,0.09,0.0632,0.0473
646,0.0898,0.0635,0.0474
647,0.0896,0.0638,0.0474
648,0.0894,0.064,0.0474
649,0.0892,0.0643,0.0475
650,0.089,0.0646,0.0475
651,0.089,0.0649,0.0476
652,0.089,0.0652,0.0476
653,0.089,0.0656,0.0477
654,0.089,0.0659,0.0477
655,0.089,0.0662,0.0478
656,0.089,0.0665,0.0478
657,0.089,0.0668,0.0478
658,0.089,0.067,0.0478
659,0.089,0.0673,0.0479
660,0.089,0.0676,0.0479
661,0.0888,0.068,0.0479
662,0.0886,0.0683,0.048
663,0.0884,0.0686,0.048
664,0.0882,0.0689,0.048
665,0.088,0.0693,0.048
666,0.088,0.0696,0.0481
667,0.088,0.0699,0.0481
668,0.088,0.0702,0.0482
669,0.088,0.0706,0.0482
670,0.088,0.0709,0.0482
671,0.088,0.0713,0.0483
672,0.088,0.0717,0.0483
673,0.088,0.0721,0.0484
674,0.088,0.0724,0.0484
675,0.088,0.0728,0.0485
676,0.0878,0.0733,0.0485
677,0.0876,0.0737,0.0486
678,0.0874,0.0741,0.0486
679,0.0872,0.0746,0.0487
680,0.087,0.075,0.0487
681,0.087,0.0755,0.0488
682,0.087,0.076,0.0488
683,0.087,0.0765,0.0489
684,0.087,0.077,0.0489
