"強度
\
波段",Black,,
,,Algorithm,Regression
380,0.032,0.0189,0.0204
381,0.0322,0.0193,0.021
382,0.0324,0.0198,0.0216
383,0.0326,0.0202,0.0222
384,0.0328,0.0207,0.0228
385,0.033,0.0212,0.0234
386,0.033,0.0217,0.0241
387,0.033,0.0223,0.0249
388,0.033,0.0229,0.0257
389,0.033,0.0235,0.0265
390,0.033,0.0241,0.0272
391,0.0332,0.0247,0.0281
392,0.0334,0.0254,0.029
393,0.0336,0.0261,0.0298
394,0.0338,0.0267,0.0307
395,0.034,0.0274,0.0315
396,0.0342,0.0281,0.0323
397,0.0344,0.0287,0.0331
398,0.0346,0.0294,0.0339
399,0.0348,0.03,0.0347
400,0.035,0.0307,0.0355
401,0.035,0.0311,0.0358
402,0.035,0.0314,0.0361
403,0.035,0.0318,0.0364
404,0.035,0.0321,0.0367
405,0.035,0.0325,0.0369
406,0.0352,0.0326,0.0368
407,0.0354,0.0327,0.0367
408,0.0356,0.0329,0.0365
409,0.0358,0.033,0.0364
410,0.036,0.0331,0.0363
411,0.036,0.0332,0.036
412,0.036,0.0332,0.0358
413,0.036,0.0333,0.0356
414,0.036,0.0334,0.0353
415,0.036,0.0335,0.0351
416,0.036,0.0335,0.0349
417,0.036,0.0336,0.0347
418,0.036,0.0337,0.0345
419,0.036,0.0337,0.0344
420,0.036,0.0338,0.0342
421,0.036,0.0339,0.0341
422,0.036,0.0341,0.0341
423,0.036,0.0342,0.034
424,0.036,0.0343,0.034
425,0.036,0.0344,0.0339
426,0.036,0.0346,0.034
427,0.036,0.0349,0.034
428,0.036,0.0351,0.034
429,0.036,0.0353,0.0341
430,0.036,0.0355,0.0341
431,0.036,0.0357,0.0342
432,0.036,0.0359,0.0343
433,0.036,0.0362,0.0343
434,0.036,0.0364,0.0344
435,0.036,0.0366,0.0345
436,0.0358,0.0369,0.0346
437,0.0356,0.0372,0.0347
438,0.0354,0.0375,0.0348
439,0.0352,0.0377,0.0349
440,0.035,0.038,0.035
441,0.035,0.0383,0.0352
442,0.035,0.0386,0.0353
443,0.035,0.0388,0.0354
444,0.035,0.0391,0.0355
445,0.035,0.0394,0.0356
446,0.035,0.0396,0.0357
447,0.035,0.0398,0.0358
448,0.035,0.04,0.0359
449,0.035,0.0401,0.036
450,0.035,0.0403,0.0361
451,0.035,0.0404,0.0362
452,0.035,0.0404,0.0363
453,0.035,0.0405,0.0365
454,0.035,0.0405,0.0366
455,0.035,0.0406,0.0367
456,0.035,0.0405,0.0368
457,0.035,0.0405,0.0369
458,0.035,0.0404,0.0371
459,0.035,0.0404,0.0372
460,0.035,0.0403,0.0373
461,0.035,0.0402,0.0375
462,0.035,0.0401,0.0377
463,0.035,0.04,0.0379
464,0.035,0.0399,0.0381
465,0.035,0.0397,0.0383
466,0.035,0.0396,0.0385
467,0.035,0.0394,0.0387
468,0.035,0.0392,0.0389
469,0.035,0.039,0.0391
470,0.035,0.0389,0.0393
471,0.035,0.0386,0.0396
472,0.035,0.0384,0.0398
473,0.035,0.0382,0.04
474,0.035,0.038,0.0402
475,0.035,0.0377,0.0405
476,0.0348,0.0375,0.0407
477,0.0346,0.0372,0.0408
478,0.0344,0.0369,0.041
479,0.0342,0.0366,0.0412
480,0.034,0.0364,0.0414
481,0.034,0.0361,0.0416
482,0.034,0.0358,0.0417
483,0.034,0.0356,0.0419
484,0.034,0.0353,0.042
485,0.034,0.0351,0.0422
486,0.034,0.0349,0.0423
487,0.034,0.0346,0.0424
488,0.034,0.0344,0.0425
489,0.034,0.0342,0.0427
490,0.034,0.034,0.0428
491,0.034,0.0339,0.0429
492,0.034,0.0338,0.043
493,0.034,0.0337,0.0431
494,0.034,0.0336,0.0432
495,0.034,0.0335,0.0432
496,0.034,0.0337,0.0434
