"強度
\
波段",blue sky,,
,,Algorithm,Regression
380,0.113,0.0616,0.0554
381,0.118,0.0637,0.0574
382,0.123,0.0659,0.0595
383,0.128,0.068,0.0615
384,0.133,0.0702,0.0635
385,0.138,0.0723,0.0655
386,0.1452,0.0752,0.0683
387,0.1524,0.0781,0.0711
388,0.1596,0.081,0.0739
389,0.1668,0.0839,0.0767
390,0.174,0.0868,0.0795
391,0.183,0.0904,0.083
392,0.192,0.094,0.0865
393,0.201,0.0976,0.09
394,0.21,0.1012,0.0935
395,0.219,0.1047,0.097
396,0.2284,0.1085,0.1008
397,0.2378,0.1123,0.1046
398,0.2472,0.1161,0.1084
399,0.2566,0.1199,0.1122
400,0.266,0.1237,0.116
401,0.2728,0.1267,0.1193
402,0.2796,0.1297,0.1226
403,0.2864,0.1326,0.1259
404,0.2932,0.1356,0.1292
405,0.3,0.1386,0.1325
406,0.304,0.1405,0.1349
407,0.308,0.1424,0.1373
408,0.312,0.1443,0.1398
409,0.316,0.1462,0.1422
410,0.32,0.1482,0.1446
411,0.322,0.1494,0.1463
412,0.324,0.1507,0.148
413,0.326,0.152,0.1497
414,0.328,0.1533,0.1514
415,0.33,0.1546,0.153
416,0.3312,0.1555,0.1542
417,0.3324,0.1565,0.1554
418,0.3336,0.1574,0.1566
419,0.3348,0.1583,0.1578
420,0.336,0.1593,0.159
421,0.3362,0.1601,0.16
422,0.3364,0.161,0.161
423,0.3366,0.1619,0.162
424,0.3368,0.1627,0.163
425,0.337,0.1636,0.164
426,0.337,0.1647,0.165
427,0.337,0.1657,0.1661
428,0.337,0.1667,0.1672
429,0.337,0.1678,0.1682
430,0.337,0.1688,0.1693
431,0.337,0.17,0.1704
432,0.337,0.1711,0.1715
433,0.337,0.1722,0.1727
434,0.337,0.1733,0.1738
435,0.337,0.1745,0.175
436,0.3366,0.1758,0.1762
437,0.3362,0.177,0.1775
438,0.3358,0.1783,0.1787
439,0.3354,0.1796,0.18
440,0.335,0.1809,0.1813
441,0.3348,0.1821,0.1825
442,0.3346,0.1834,0.1838
443,0.3344,0.1846,0.185
444,0.3342,0.1858,0.1863
445,0.334,0.1871,0.1875
446,0.3334,0.188,0.1884
447,0.3328,0.1888,0.1893
448,0.3322,0.1897,0.1902
449,0.3316,0.1905,0.1911
450,0.331,0.1914,0.192
451,0.3302,0.1916,0.1923
452,0.3294,0.1919,0.1927
453,0.3286,0.1922,0.1931
454,0.3278,0.1925,0.1934
455,0.327,0.1928,0.1938
456,0.326,0.1926,0.1938
457,0.325,0.1924,0.1938
458,0.324,0.1923,0.1938
459,0.323,0.1921,0.1938
460,0.322,0.192,0.1938
461,0.3208,0.1915,0.1935
462,0.3196,0.191,0.1932
463,0.3184,0.1905,0.1929
464,0.3172,0.19,0.1926
465,0.316,0.1895,0.1923
466,0.3148,0.1887,0.1917
467,0.3136,0.1879,0.191
468,0.3124,0.187,0.1904
469,0.3112,0.1862,0.1898
470,0.31,0.1854,0.1892
471,0.3084,0.1841,0.1882
472,0.3068,0.1829,0.1872
473,0.3052,0.1817,0.1862
474,0.3036,0.1805,0.1853
475,0.302,0.1792,0.1843
476,0.3002,0.1776,0.183
477,0.2984,0.176,0.1816
478,0.2966,0.1744,0.1803
479,0.2948,0.1727,0.1789
480,0.293,0.1711,0.1776
481,0.2914,0.1694,0.1761
482,0.2898,0.1677,0.1746
483,0.2882,0.1659,0.1732
484,0.2866,0.1642,0.1717
485,0.285,0.1625,0.1702
486,0.2832,0.1607,0.1686
487,0.2814,0.1588,0.167
488,0.2796,0.157,0.1654
489,0.2778,0.1552,0.1638
490,0.276,0.1534,0.1622
491,0.2744,0.1518,0.1607
492,0.2728,0.1502,0.1593
493,0.2712,0.1486,0.1578
494,0.2696,0.147,0.1563
495,0.268,0.1454,0.1549
496,0.2664,0.1441,0.1537
497,0.2648,0.1429,0.1524
498,0.2632,0.1416,0.1512
499,0.2616,0.1404,0.15
500,0.26,0.1391,0.1488
501,0.2582,0.1382,0.1478
502,0.2564,0.1372,0.1467
503,0.2546,0.1363,0.1457
504,0.2528,0.1353,0.1447
505,0.251,0.1344,0.1437
506,0.2494,0.1337,0.1428
507,0.2478,0.133,0.142
508,0.2462,0.1323,0.1411
509,0.2446,0.1316,0.1403
