"強度
\
波段",foliage,,
,,Algorithm,Regression
380,0.048,0.0319,0.0234
381,0.0482,0.0325,0.0239
382,0.0484,0.0332,0.0243
383,0.0486,0.0339,0.0248
384,0.0488,0.0345,0.0252
385,0.049,0.0352,0.0256
386,0.049,0.036,0.0262
387,0.049,0.0368,0.0268
388,0.049,0.0376,0.0273
389,0.049,0.0384,0.0279
390,0.049,0.0392,0.0284
391,0.049,0.04,0.029
392,0.049,0.0409,0.0296
393,0.049,0.0417,0.0302
394,0.049,0.0426,0.0308
395,0.049,0.0434,0.0315
396,0.0492,0.0442,0.0321
397,0.0494,0.045,0.0327
398,0.0496,0.0458,0.0333
399,0.0498,0.0466,0.034
400,0.05,0.0474,0.0346
401,0.0498,0.0477,0.0351
402,0.0496,0.0479,0.0355
403,0.0494,0.0482,0.036
404,0.0492,0.0485,0.0365
405,0.049,0.0488,0.037
406,0.049,0.0487,0.0374
407,0.049,0.0486,0.0377
408,0.049,0.0486,0.0381
409,0.049,0.0485,0.0385
410,0.049,0.0484,0.0389
411,0.0492,0.0483,0.0392
412,0.0494,0.0482,0.0395
413,0.0496,0.0481,0.0398
414,0.0498,0.0479,0.0401
415,0.05,0.0478,0.0404
416,0.05,0.0477,0.0407
417,0.05,0.0477,0.0409
418,0.05,0.0476,0.0412
419,0.05,0.0476,0.0415
420,0.05,0.0475,0.0418
421,0.0502,0.0475,0.0421
422,0.0504,0.0476,0.0424
423,0.0506,0.0477,0.0427
424,0.0508,0.0477,0.0431
425,0.051,0.0478,0.0434
426,0.0512,0.048,0.0438
427,0.0514,0.0482,0.0442
428,0.0516,0.0484,0.0446
429,0.0518,0.0486,0.045
430,0.052,0.0488,0.0454
431,0.0522,0.049,0.0459
432,0.0524,0.0493,0.0463
433,0.0526,0.0495,0.0468
434,0.0528,0.0497,0.0472
435,0.053,0.0499,0.0477
436,0.0532,0.0502,0.0482
437,0.0534,0.0505,0.0487
438,0.0536,0.0508,0.0493
439,0.0538,0.0511,0.0498
440,0.054,0.0514,0.0503
441,0.0544,0.0517,0.0509
442,0.0548,0.052,0.0515
443,0.0552,0.0523,0.052
444,0.0556,0.0526,0.0526
445,0.056,0.0529,0.0532
446,0.0564,0.0531,0.0537
447,0.0568,0.0534,0.0542
448,0.0572,0.0536,0.0547
449,0.0576,0.0538,0.0552
450,0.058,0.0541,0.0557
451,0.0584,0.0542,0.056
452,0.0588,0.0542,0.0564
453,0.0592,0.0543,0.0567
454,0.0596,0.0544,0.0571
455,0.06,0.0545,0.0574
456,0.0602,0.0545,0.0577
457,0.0604,0.0545,0.0579
458,0.0606,0.0545,0.0582
459,0.0608,0.0544,0.0585
460,0.061,0.0544,0.0587
461,0.0614,0.0544,0.059
462,0.0618,0.0544,0.0592
463,0.0622,0.0543,0.0595
464,0.0626,0.0543,0.0598
465,0.063,0.0543,0.06
466,0.0632,0.0543,0.0602
467,0.0634,0.0542,0.0605
468,0.0636,0.0542,0.0607
469,0.0638,0.0541,0.0609
470,0.064,0.0541,0.0611
471,0.0642,0.0541,0.0613
472,0.0644,0.0541,0.0616
473,0.0646,0.0541,0.0618
474,0.0648,0.0541,0.0621
475,0.065,0.0541,0.0623
476,0.0654,0.0542,0.0626
477,0.0658,0.0543,0.0628
478,0.0662,0.0543,0.0631
479,0.0666,0.0544,0.0634
480,0.067,0.0544,0.0636
481,0.0672,0.0546,0.0639
482,0.0674,0.0547,0.0641
483,0.0676,0.0549,0.0644
484,0.0678,0.0551,0.0647
485,0.068,0.0552,0.0649
486,0.0684,0.0556,0.0653
487,0.0688,0.0559,0.0656
488,0.0692,0.0563,0.0659
489,0.0696,0.0566,0.0663
490,0.07,0.057,0.0666
491,0.0704,0.0576,0.0671
492,0.0708,0.0582,0.0676
493,0.0712,0.0588,0.0681
494,0.0716,0.0594,0.0686
495,0.072,0.06,0.0691
496,0.0732,0.0611,0.0698
497,0.0744,0.0621,0.0706
498,0.0756,0.0632,0.0713
499,0.0768,0.0643,0.0721
500,0.078,0.0653,0.0729
501,0.08,0.0667,0.0738
502,0.082,0.0681,0.0748
503,0.084,0.0695,0.0758
504,0.086,0.0709,0.0768
505,0.088,0.0723,0.0778
506,0.0916,0.074,0.0789
507,0.0952,0.0757,0.0801
508,0.0988,0.0774,0.0813
509,0.1024,0.0791,0.0825
510,0.106,0.0808,0.0837
511,0.1108,0.0826,0.085
512,0.1156,0.0844,0.0863
513,0.1204,0.0862,0.0876
514,0.1252,0.088,0.0889
515,0.13,0.0898,0.0902
516,0.135,0.0914,0.0914
517,0.14,0.0929,0.0925
518,0.145,0.0944,0.0937
519,0.15,0.096,0.0949
520,0.155,0.0975,0.096
521,0.1586,0.0985,0.0969
522,0.1622,0.0995,0.0977
523,0.1658,0.1005,0.0985
524,0.1694,0.1015,0.0994
525,0.173,0.1024,0.1002
526,0.1746,0.1028,0.1006
527,0.1762,0.1032,0.1011
528,0.1778,0.1035,0.1015
529,0.1794,0.1039,0.1019
530,0.181,0.1043,0.1024
531,0.1812,0.1042,0.1025
532,0.1814,0.1041,0.1026
533,0.1816,0.1041,0.1028
534,0.1818,0.104,0.1029
535,0.182,0.104,0.103
536,0.181,0.1036,0.1029
537,0.18,0.1033,0.1029
538,0.179,0.1029,0.1028
539,0.178,0.1025,0.1027
540,0.177,0.1022,0.1026
541,0.1752,0.1016,0.1023
542,0.1734,0.1011,0.102
543,0.1716,0.1005,0.1017
544,0.1698,0.0999,0.1014
545,0.168,0.0994,0.1011
546,0.1658,0.0986,0.1006
547,0.1636,0.0978,0.1001
548,0.1614,0.097,0.0996
549,0.1592,0.0963,0.0992
550,0.157,0.0955,0.0987
551,0.155,0.0947,0.0981
552,0.153,0.0938,0.0976
553,0.151,0.093,0.0971
554,0.149,0.0922,0.0966
555,0.147,0.0914,0.0961
556,0.145,0.0905,0.0956
557,0.143,0.0896,0.095
558,0.141,0.0887,0.0945
559,0.139,0.0878,0.0939
560,0.137,0.0869,0.0934
