"強度
\
波段",blue flower,,
,,Algorithm,Regression
380,0.123,0.0882,0.0889
381,0.1288,0.0914,0.092
382,0.1346,0.0945,0.0951
383,0.1404,0.0977,0.0982
384,0.1462,0.1008,0.1014
385,0.152,0.1039,0.1045
386,0.161,0.1083,0.1088
387,0.17,0.1126,0.113
388,0.179,0.1169,0.1173
389,0.188,0.1212,0.1216
390,0.197,0.1256,0.1259
391,0.2092,0.1309,0.1312
392,0.2214,0.1362,0.1364
393,0.2336,0.1415,0.1417
394,0.2458,0.1468,0.147
395,0.258,0.1521,0.1522
396,0.272,0.1576,0.1578
397,0.286,0.1632,0.1634
398,0.3,0.1688,0.169
399,0.314,0.1743,0.1745
400,0.328,0.1799,0.1801
401,0.3394,0.1843,0.1846
402,0.3508,0.1886,0.1891
403,0.3622,0.1929,0.1936
404,0.3736,0.1973,0.198
405,0.385,0.2016,0.2025
406,0.3916,0.2043,0.2054
407,0.3982,0.207,0.2083
408,0.4048,0.2097,0.2112
409,0.4114,0.2124,0.2142
410,0.418,0.2151,0.2171
411,0.4218,0.2168,0.2189
412,0.4256,0.2184,0.2207
413,0.4294,0.22,0.2225
414,0.4332,0.2216,0.2243
415,0.437,0.2233,0.2261
416,0.4388,0.2243,0.2273
417,0.4406,0.2253,0.2284
418,0.4424,0.2263,0.2296
419,0.4442,0.2274,0.2307
420,0.446,0.2284,0.2319
421,0.4464,0.2291,0.2327
422,0.4468,0.2299,0.2334
423,0.4472,0.2306,0.2342
424,0.4476,0.2313,0.235
425,0.448,0.232,0.2358
426,0.448,0.2328,0.2366
427,0.448,0.2337,0.2375
428,0.448,0.2345,0.2383
429,0.448,0.2353,0.2392
430,0.448,0.2361,0.24
431,0.4478,0.237,0.2409
432,0.4476,0.2378,0.2417
433,0.4474,0.2387,0.2426
434,0.4472,0.2396,0.2435
435,0.447,0.2404,0.2443
436,0.4464,0.2414,0.2453
437,0.4458,0.2423,0.2462
438,0.4452,0.2432,0.2471
439,0.4446,0.2442,0.248
440,0.444,0.2451,0.249
441,0.4432,0.246,0.2498
442,0.4424,0.2469,0.2507
443,0.4416,0.2477,0.2516
444,0.4408,0.2486,0.2525
445,0.44,0.2495,0.2534
446,0.4388,0.25,0.2538
447,0.4376,0.2504,0.2542
448,0.4364,0.2509,0.2546
449,0.4352,0.2513,0.255
450,0.434,0.2518,0.2555
451,0.4328,0.2517,0.2553
452,0.4316,0.2516,0.2551
453,0.4304,0.2514,0.2549
454,0.4292,0.2513,0.2547
455,0.428,0.2512,0.2545
456,0.4266,0.2507,0.2538
457,0.4252,0.2502,0.2531
458,0.4238,0.2496,0.2525
459,0.4224,0.2491,0.2518
460,0.421,0.2486,0.2511
461,0.4194,0.2477,0.2501
462,0.4178,0.2469,0.2491
463,0.4162,0.246,0.248
464,0.4146,0.2452,0.247
465,0.413,0.2443,0.246
466,0.4114,0.2431,0.2446
467,0.4098,0.2419,0.2432
468,0.4082,0.2407,0.2418
469,0.4066,0.2396,0.2405
470,0.405,0.2384,0.2391
471,0.4028,0.2368,0.2373
472,0.4006,0.2351,0.2355
473,0.3984,0.2335,0.2337
474,0.3962,0.2319,0.2319
475,0.394,0.2303,0.2301
476,0.3914,0.2282,0.2278
477,0.3888,0.2261,0.2256
478,0.3862,0.2241,0.2234
479,0.3836,0.222,0.2211
480,0.381,0.2199,0.2189
481,0.3792,0.2178,0.2167
482,0.3774,0.2157,0.2145
483,0.3756,0.2136,0.2123
484,0.3738,0.2114,0.2101
485,0.372,0.2093,0.2079
486,0.37,0.2071,0.2056
487,0.368,0.2049,0.2034
488,0.366,0.2026,0.2012
489,0.364,0.2004,0.1989
490,0.362,0.1982,0.1967
491,0.36,0.1962,0.1948
492,0.358,0.1942,0.1929
493,0.356,0.1922,0.191
494,0.354,0.1902,0.1892
495,0.352,0.1882,0.1873
496,0.35,0.1866,0.1858
497,0.348,0.185,0.1844
498,0.346,0.1833,0.183
499,0.344,0.1817,0.1816
500,0.342,0.1801,0.1801
501,0.3396,0.1787,0.1791
502,0.3372,0.1774,0.178
503,0.3348,0.176,0.1769
504,0.3324,0.1746,0.1759
505,0.33,0.1733,0.1748
506,0.3268,0.1721,0.174
507,0.3236,0.171,0.1732
508,0.3204,0.1699,0.1724
509,0.3172,0.1687,0.1716
510,0.314,0.1676,0.1708
511,0.31,0.1664,0.17
512,0.306,0.1652,0.1692
513,0.302,0.1641,0.1684
514,0.298,0.1629,0.1676
515,0.294,0.1617,0.1668
516,0.2894,0.1605,0.1659
517,0.2848,0.1592,0.165
518,0.2802,0.1579,0.1641
519,0.2756,0.1567,0.1632
520,0.271,0.1554,0.1623
521,0.2666,0.1539,0.1611
522,0.2622,0.1525,0.1599
523,0.2578,0.151,0.1588
524,0.2534,0.1495,0.1576
525,0.249,0.148,0.1564
526,0.2454,0.1466,0.1553
527,0.2418,0.1452,0.1541
528,0.2382,0.1438,0.1529
529,0.2346,0.1424,0.1517
530,0.231,0.141,0.1506
531,0.2286,0.1398,0.1495
532,0.2262,0.1386,0.1485
533,0.2238,0.1374,0.1475
534,0.2214,0.1362,0.1464
535,0.219,0.135,0.1454
536,0.2174,0.1339,0.1445
537,0.2158,0.1329,0.1436
538,0.2142,0.1318,0.1427
539,0.2126,0.1307,0.1418
540,0.211,0.1297,0.1408
541,0.2106,0.1289,0.1402
542,0.2102,0.1281,0.1395
543,0.2098,0.1274,0.1388
544,0.2094,0.1266,0.1382
545,0.209,0.1258,0.1375
546,0.209,0.125,0.1368
547,0.209,0.1242,0.1361
548,0.209,0.1234,0.1354
549,0.209,0.1227,0.1347
550,0.209,0.1219,0.134
551,0.2086,0.121,0.1333
552,0.2082,0.1202,0.1325
553,0.2078,0.1193,0.1317
554,0.2074,0.1184,0.131
555,0.207,0.1176,0.1302
556,0.2058,0.1167,0.1294
557,0.2046,0.1158,0.1286
558,0.2034,0.1149,0.1278
559,0.2022,0.1141,0.127
560,0.201,0.1132,0.1262
561,0.2,0.1124,0.1255
562,0.199,0.1117,0.1248
563,0.198,0.1109,0.1241
564,0.197,0.1101,0.1234
565,0.196,0.1094,0.1228
566,0.196,0.109,0.1224
567,0.196,0.1085,0.1221
568,0.196,0.1081,0.1217
569,0.196,0.1077,0.1214
570,0.196,0.1073,0.121
571,0.1966,0.1074,0.1211
572,0.1972,0.1074,0.1213
573,0.1978,0.1075,0.1214
574,0.1984,0.1075,0.1215
575,0.199,0.1076,0.1216
576,0.2004,0.108,0.1221
577,0.2018,0.1085,0.1226
578,0.2032,0.109,0.1231
579,0.2046,0.1094,0.1236
580,0.206,0.1099,0.1241
581,0.2078,0.1108,0.125
582,0.2096,0.1118,0.126
583,0.2114,0.1127,0.127
584,0.2132,0.1136,0.1279
585,0.215,0.1146,0.1289
586,0.2166,0.1158,0.1301
587,0.2182,0.1169,0.1312
588,0.2198,0.1181,0.1324
589,0.2214,0.1193,0.1336
590,0.223,0.1204,0.1347
591,0.2242,0.1217,0.136
592,0.2254,0.1229,0.1372
593,0.2266,0.1242,0.1384
594,0.2278,0.1254,0.1396
595,0.229,0.1266,0.1408
596,0.2302,0.128,0.1421
597,0.2314,0.1293,0.1434
598,0.2326,0.1307,0.1448
599,0.2338,0.132,0.1461
600,0.235,0.1334,0.1474
601,0.2362,0.1349,0.1488
602,0.2374,0.1365,0.1503
603,0.2386,0.138,0.1518
604,0.2398,0.1395,0.1533
605,0.241,0.1411,0.1548
606,0.2418,0.1427,0.1563
607,0.2426,0.1444,0.1579
608,0.2434,0.146,0.1595
609,0.2442,0.1477,0.1611
610,0.245,0.1493,0.1627
611,0.245,0.1509,0.1642
612,0.245,0.1525,0.1657
613,0.245,0.1541,0.1673
614,0.245,0.1557,0.1688
615,0.245,0.1573,0.1703
616,0.2446,0.1587,0.1717
617,0.2442,0.1602,0.1731
618,0.2438,0.1616,0.1745
619,0.2434,0.1631,0.1759
620,0.243,0.1645,0.1773
621,0.243,0.1659,0.1786
622,0.243,0.1673,0.18
623,0.243,0.1687,0.1813
624,0.243,0.1701,0.1827
625,0.243,0.1715,0.1841
626,0.2438,0.1728,0.1853
627,0.2446,0.1741,0.1866
628,0.2454,0.1753,0.1878
629,0.2462,0.1766,0.1891
630,0.247,0.1779,0.1903
631,0.2484,0.1789,0.1914
632,0.2498,0.18,0.1924
633,0.2512,0.181,0.1934
634,0.2526,0.1821,0.1945
635,0.254,0.1831,0.1955
636,0.257,0.1842,0.1966
637,0.26,0.1853,0.1977
638,0.263,0.1864,0.1988
639,0.266,0.1875,0.1999
