"強度
\
波段",bluish green,,
,,Algorithm,Regression
380,0.11,0.0735,0.0754
381,0.1146,0.0757,0.0778
382,0.1192,0.0779,0.0802
383,0.1238,0.0801,0.0825
384,0.1284,0.0823,0.0849
385,0.133,0.0844,0.0873
386,0.1398,0.0873,0.0904
387,0.1466,0.0902,0.0936
388,0.1534,0.093,0.0968
389,0.1602,0.0959,0.0999
390,0.167,0.0987,0.1031
391,0.1752,0.1021,0.1068
392,0.1834,0.1054,0.1104
393,0.1916,0.1087,0.1141
394,0.1998,0.1121,0.1178
395,0.208,0.1154,0.1214
396,0.2168,0.1188,0.1251
397,0.2256,0.1222,0.1288
398,0.2344,0.1255,0.1325
399,0.2432,0.1289,0.1362
400,0.252,0.1323,0.1398
401,0.2584,0.1347,0.1424
402,0.2648,0.1371,0.1449
403,0.2712,0.1395,0.1475
404,0.2776,0.1419,0.15
405,0.284,0.1444,0.1526
406,0.2878,0.1457,0.1539
407,0.2916,0.1471,0.1551
408,0.2954,0.1485,0.1564
409,0.2992,0.1498,0.1576
410,0.303,0.1512,0.1589
411,0.3052,0.1519,0.1593
412,0.3074,0.1526,0.1598
413,0.3096,0.1533,0.1603
414,0.3118,0.154,0.1607
415,0.314,0.1547,0.1612
416,0.3156,0.1553,0.1615
417,0.3172,0.1559,0.1619
418,0.3188,0.1565,0.1622
419,0.3204,0.1571,0.1626
420,0.322,0.1577,0.163
421,0.3234,0.1586,0.1636
422,0.3248,0.1594,0.1642
423,0.3262,0.1603,0.1649
424,0.3276,0.1612,0.1655
425,0.329,0.162,0.1661
426,0.3304,0.1632,0.167
427,0.3318,0.1643,0.1679
428,0.3332,0.1654,0.1687
429,0.3346,0.1666,0.1696
430,0.336,0.1677,0.1705
431,0.3376,0.1691,0.1716
432,0.3392,0.1704,0.1727
433,0.3408,0.1718,0.1738
434,0.3424,0.1731,0.1749
435,0.344,0.1745,0.1759
436,0.3458,0.1761,0.1772
437,0.3476,0.1777,0.1785
438,0.3494,0.1792,0.1798
439,0.3512,0.1808,0.181
440,0.353,0.1824,0.1823
441,0.355,0.1841,0.1836
442,0.357,0.1857,0.185
443,0.359,0.1874,0.1863
444,0.361,0.1891,0.1877
445,0.363,0.1907,0.189
446,0.3654,0.1923,0.1904
447,0.3678,0.1939,0.1917
448,0.3702,0.1954,0.193
449,0.3726,0.197,0.1944
450,0.375,0.1986,0.1957
451,0.378,0.1999,0.197
452,0.381,0.2012,0.1982
453,0.384,0.2026,0.1995
454,0.387,0.2039,0.2007
455,0.39,0.2052,0.202
456,0.3936,0.2065,0.2033
457,0.3972,0.2077,0.2046
458,0.4008,0.2089,0.2059
459,0.4044,0.2102,0.2072
460,0.408,0.2114,0.2085
461,0.413,0.2128,0.2101
462,0.418,0.2142,0.2116
463,0.423,0.2156,0.2132
464,0.428,0.217,0.2148
465,0.433,0.2184,0.2163
466,0.4384,0.2197,0.2179
467,0.4438,0.221,0.2195
468,0.4492,0.2223,0.2211
469,0.4546,0.2236,0.2227
470,0.46,0.225,0.2243
471,0.4664,0.2264,0.2261
472,0.4728,0.2278,0.2279
473,0.4792,0.2292,0.2297
474,0.4856,0.2306,0.2315
475,0.492,0.2321,0.2333
476,0.4982,0.2334,0.2351
477,0.5044,0.2348,0.2369
478,0.5106,0.2361,0.2387
