"強度
\
波段",Orange,,
,,Algorithm,Regression
380,0.053,0.0603,0.063
381,0.0532,0.0612,0.064
382,0.0534,0.062,0.065
383,0.0536,0.0629,0.0659
384,0.0538,0.0638,0.0669
385,0.054,0.0646,0.0679
386,0.054,0.0657,0.0691
387,0.054,0.0668,0.0703
388,0.054,0.0678,0.0715
389,0.054,0.0689,0.0727
390,0.054,0.07,0.0739
391,0.054,0.0709,0.0749
392,0.054,0.0718,0.0759
393,0.054,0.0727,0.0769
394,0.054,0.0736,0.0779
395,0.054,0.0745,0.0789
396,0.054,0.0751,0.0795
397,0.054,0.0757,0.08
398,0.054,0.0763,0.0806
399,0.054,0.0769,0.0811
400,0.054,0.0775,0.0817
401,0.054,0.0769,0.0809
402,0.054,0.0763,0.08
403,0.054,0.0757,0.0792
404,0.054,0.0751,0.0783
405,0.054,0.0746,0.0775
406,0.0538,0.0734,0.0759
407,0.0536,0.0723,0.0744
408,0.0534,0.0712,0.0729
409,0.0532,0.0701,0.0714
410,0.053,0.0689,0.0699
411,0.053,0.068,0.0686
412,0.053,0.0671,0.0673
413,0.053,0.0662,0.066
414,0.053,0.0652,0.0647
415,0.053,0.0643,0.0634
416,0.0528,0.0636,0.0625
417,0.0526,0.0629,0.0615
418,0.0524,0.0622,0.0605
419,0.0522,0.0615,0.0595
420,0.052,0.0608,0.0586
421,0.052,0.0604,0.058
422,0.052,0.06,0.0575
423,0.052,0.0596,0.057
424,0.052,0.0592,0.0564
425,0.052,0.0588,0.0559
426,0.052,0.0585,0.0555
427,0.052,0.0582,0.0551
428,0.052,0.0579,0.0547
429,0.052,0.0576,0.0543
430,0.052,0.0574,0.0538
431,0.052,0.0572,0.0536
432,0.052,0.057,0.0533
433,0.052,0.0568,0.053
434,0.052,0.0566,0.0528
435,0.052,0.0564,0.0525
436,0.052,0.0562,0.0523
437,0.052,0.056,0.0521
438,0.052,0.0559,0.0518
439,0.052,0.0557,0.0516
440,0.052,0.0556,0.0514
441,0.052,0.0554,0.0513
442,0.052,0.0553,0.0511
443,0.052,0.0552,0.051
444,0.052,0.0551,0.0508
445,0.052,0.055,0.0507
446,0.052,0.0549,0.0507
447,0.052,0.0548,0.0507
448,0.052,0.0548,0.0507
449,0.052,0.0547,0.0507
450,0.052,0.0546,0.0507
451,0.052,0.0545,0.0509
452,0.052,0.0545,0.0511
453,0.052,0.0544,0.0513
454,0.052,0.0544,0.0515
455,0.052,0.0543,0.0517
456,0.052,0.0544,0.0522
457,0.052,0.0544,0.0528
458,0.052,0.0545,0.0533
459,0.052,0.0545,0.0538
460,0.052,0.0546,0.0543
461,0.052,0.055,0.0553
462,0.052,0.0553,0.0563
463,0.052,0.0557,0.0573
464,0.052,0.056,0.0583
465,0.052,0.0564,0.0593
466,0.0522,0.0568,0.0604
467,0.0524,0.0572,0.0616
468,0.0526,0.0576,0.0627
469,0.0528,0.058,0.0638
470,0.053,0.0584,0.0649
471,0.0532,0.059,0.0663
472,0.0534,0.0595,0.0676
473,0.0536,0.0601,0.069
474,0.0538,0.0606,0.0703
475,0.054,0.0612,0.0717
476,0.0542,0.0617,0.073
477,0.0544,0.0623,0.0743
478,0.0546,0.0628,0.0756
479,0.0548,0.0633,0.0769
480,0.055,0.0639,0.0782
481,0.0552,0.0644,0.0793
482,0.0554,0.0649,0.0804
483,0.0556,0.0654,0.0815
484,0.0558,0.0658,0.0826
485,0.056,0.0663,0.0837
486,0.0562,0.0668,0.0845
487,0.0564,0.0672,0.0853
488,0.0566,0.0676,0.0861
489,0.0568,0.068,0.0869
490,0.057,0.0684,0.0877
491,0.0574,0.0689,0.0884
492,0.0578,0.0694,0.089
493,0.0582,0.0698,0.0896
494,0.0586,0.0703,0.0902
495,0.059,0.0708,0.0909
496,0.0594,0.0713,0.0913
497,0.0598,0.0719,0.0918
498,0.0602,0.0724,0.0923
499,0.0606,0.0729,0.0927
500,0.061,0.0735,0.0932
501,0.0616,0.0741,0.0936
502,0.0622,0.0748,0.094
503,0.0628,0.0754,0.0944
504,0.0634,0.076,0.0948
505,0.064,0.0767,0.0952
506,0.0648,0.0774,0.0956
507,0.0656,0.0782,0.0961
508,0.0664,0.079,0.0965
509,0.0672,0.0797,0.0969
510,0.068,0.0805,0.0974
511,0.0696,0.0814,0.0979
512,0.0712,0.0823,0.0984
513,0.0728,0.0832,0.0989
514,0.0744,0.084,0.0994
515,0.076,0.0849,0.0999
516,0.078,0.0859,0.1005
517,0.08,0.0869,0.1012
518,0.082,0.0879,0.1018
519,0.084,0.0889,0.1024
520,0.086,0.0899,0.103
521,0.089,0.091,0.1037
522,0.092,0.0921,0.1044
523,0.095,0.0932,0.1051
524,0.098,0.0942,0.1058
525,0.101,0.0953,0.1065
526,0.1048,0.0967,0.1075
527,0.1086,0.098,0.1085
528,0.1124,0.0993,0.1095
529,0.1162,0.1007,0.1105
530,0.12,0.102,0.1115
531,0.1246,0.1037,0.1128
532,0.1292,0.1054,0.1141
533,0.1338,0.107,0.1155
534,0.1384,0.1087,0.1168
535,0.143,0.1104,0.1181
536,0.1484,0.1123,0.1197
537,0.1538,0.1143,0.1213
538,0.1592,0.1162,0.1229
539,0.1646,0.1182,0.1245
540,0.17,0.1202,0.1262
541,0.1756,0.122,0.1277
542,0.1812,0.1239,0.1292
543,0.1868,0.1258,0.1308
544,0.1924,0.1277,0.1323
545,0.198,0.1295,0.1339
546,0.204,0.1312,0.1352
547,0.21,0.1329,0.1365
548,0.216,0.1346,0.1378
549,0.222,0.1362,0.1391
550,0.228,0.1379,0.1404
551,0.2344,0.1393,0.1414
552,0.2408,0.1407,0.1424
553,0.2472,0.142,0.1434
554,0.2536,0.1434,0.1444
555,0.26,0.1448,0.1453
556,0.2674,0.1461,0.1463
557,0.2748,0.1475,0.1473
558,0.2822,0.1488,0.1482
559,0.2896,0.1501,0.1492
560,0.297,0.1515,0.1501
561,0.3052,0.1529,0.1512
562,0.3134,0.1543,0.1523
563,0.3216,0.1558,0.1534
564,0.3298,0.1572,0.1544
565,0.338,0.1586,0.1555
566,0.3464,0.1605,0.157
567,0.3548,0.1623,0.1585
568,0.3632,0.1641,0.16
569,0.3716,0.166,0.1616
570,0.38,0.1678,0.1631
571,0.3876,0.1702,0.1652
572,0.3952,0.1726,0.1673
573,0.4028,0.175,0.1694
574,0.4104,0.1773,0.1715
575,0.418,0.1797,0.1736
576,0.4248,0.1829,0.1766
577,0.4316,0.1861,0.1796
578,0.4384,0.1893,0.1827
579,0.4452,0.1925,0.1857
580,0.452,0.1957,0.1887
581,0.4578,0.1998,0.1928
582,0.4636,0.204,0.1969
583,0.4694,0.2081,0.2009
584,0.4752,0.2123,0.205
585,0.481,0.2164,0.2091
586,0.4854,0.2213,0.214
587,0.4898,0.2261,0.2188
588,0.4942,0.2309,0.2237
589,0.4986,0.2358,0.2286
590,0.503,0.2406,0.2335
591,0.5064,0.2458,0.2389
592,0.5098,0.2511,0.2442
593,0.5132,0.2563,0.2496
594,0.5166,0.2615,0.255
595,0.52,0.2668,0.2603
596,0.5224,0.2724,0.2662
597,0.5248,0.2781,0.2721
598,0.5272,0.2837,0.2781
599,0.5296,0.2893,0.284
600,0.532,0.295,0.2899
601,0.5342,0.301,0.2962
602,0.5364,0.307,0.3026
603,0.5386,0.313,0.3089
604,0.5408,0.319,0.3153
605,0.543,0.325,0.3216
606,0.5448,0.3311,0.3282
607,0.5466,0.3372,0.3348
608,0.5484,0.3434,0.3413
609,0.5502,0.3495,0.3479
610,0.552,0.3556,0.3544
611,0.5536,0.3616,0.3609
612,0.5552,0.3676,0.3674
613,0.5568,0.3736,0.3738
614,0.5584,0.3796,0.3803
615,0.56,0.3855,0.3867
616,0.5612,0.3909,0.3925
617,0.5624,0.3962,0.3982
618,0.5636,0.4015,0.4039
619,0.5648,0.4068,0.4097
620,0.566,0.4121,0.4154
621,0.5672,0.4168,0.4205
622,0.5684,0.4215,0.4255
623,0.5696,0.4262,0.4306
624,0.5708,0.4309,0.4356
625,0.572,0.4356,0.4407
626,0.5732,0.4392,0.4445
627,0.5744,0.4428,0.4484
628,0.5756,0.4465,0.4522
629,0.5768,0.4501,0.4561
630,0.578,0.4537,0.4599
631,0.579,0.4563,0.4627
632,0.58,0.459,0.4654
633,0.581,0.4616,0.4682
634,0.582,0.4642,0.4709
635,0.583,0.4669,0.4737
636,0.5838,0.4688,0.4756
637,0.5846,0.4707,0.4775
638,0.5854,0.4726,0.4795
639,0.5862,0.4746,0.4814
640,0.587,0.4765,0.4833
641,0.5882,0.4782,0.485
642,0.5894,0.4799,0.4867
643,0.5906,0.4816,0.4884
644,0.5918,0.4833,0.49
645,0.593,0.485,0.4917
646,0.5942,0.4864,0.493
647,0.5954,0.4877,0.4943
648,0.5966,0.4891,0.4956
649,0.5978,0.4905,0.4969
650,0.599,0.4919,0.4982
651,0.5996,0.4926,0.4989
652,0.6002,0.4934,0.4995
653,0.6008,0.4942,0.5002
654,0.6014,0.495,0.5008
655,0.602,0.4957,0.5015
656,0.6024,0.4962,0.5019
657,0.6028,0.4967,0.5023
658,0.6032,0.4972,0.5027
659,0.6036,0.4977,0.5031
660,0.604,0.4982,0.5034
661,0.6044,0.4987,0.5038
662,0.6048,0.4991,0.5041
663,0.6052,0.4995,0.5045
664,0.6056,0.5,0.5048
665,0.606,0.5004,0.5051
666,0.6064,0.5009,0.5055
667,0.6068,0.5013,0.506
668,0.6072,0.5018,0.5064
669,0.6076,0.5023,0.5068
670,0.608,0.5027,0.5072
671,0.6086,0.5036,0.508
672,0.6092,0.5044,0.5089
673,0.6098,0.5052,0.5097
674,0.6104,0.506,0.5105
675,0.611,0.5068,0.5113
676,0.6118,0.5079,0.5125
677,0.6126,0.509,0.5136
678,0.6134,0.5102,0.5148
679,0.6142,0.5113,0.5159
680,0.615,0.5124,0.5171
681,0.6158,0.5134,0.5182
682,0.6166,0.5144,0.5192
683,0.6174,0.5154,0.5203
684,0.6182,0.5164,0.5214
685,0.619,0.5175,0.5224
686,0.6196,0.5186,0.5237
687,0.6202,0.5198,0.5249
688,0.6208,0.5209,0.5261
689,0.6214,0.5221,0.5274
690,0.622,0.5232,0.5286
691,0.6226,0.5245,0.53
692,0.6232,0.5259,0.5313
693,0.6238,0.5272,0.5327
694,0.6244,0.5285,0.5341
695,0.625,0.5298,0.5355
696,0.6256,0.5311,0.5368
697,0.6262,0.5324,0.5382
698,0.6268,0.5338,0.5396
699,0.6274,0.5351,0.5409
700,0.628,0.5364,0.5423
701,0.6284,0.5375,0.5435
702,0.6288,0.5387,0.5446
703,0.6292,0.5398,0.5458
704,0.6296,0.5409,0.5469
705,0.63,0.5421,0.5481
706,0.6306,0.543,0.5491
707,0.6312,0.544,0.55
708,0.6318,0.545,0.551
709,0.6324,0.5459,0.552
710,0.633,0.5469,0.553
711,0.633,0.5475,0.5535
712,0.633,0.5481,0.5541
713,0.633,0.5487,0.5547
714,0.633,0.5493,0.5553
715,0.633,0.5499,0.5558
716,0.633,0.5504,0.5563
717,0.633,0.5509,0.5567
718,0.633,0.5514,0.5571
719,0.633,0.5519,0.5576
720,0.633,0.5524,0.558
721,0.6336,0.5533,0.5589
722,0.6342,0.5543,0.5598
723,0.6348,0.5552,0.5607
724,0.6354,0.5561,0.5616
725,0.636,0.5571,0.5625
726,0.6362,0.5577,0.5631
727,0.6364,0.5583,0.5636
728,0.6366,0.5589,0.5642
729,0.6368,0.5595,0.5648
730,0.637,0.5602,0.5653
731,0.6374,0.5606,0.5657
732,0.6378,0.5611,0.5661
733,0.6382,0.5616,0.5665
734,0.6386,0.562,0.567
735,0.639,0.5625,0.5674
736,0.6388,0.5627,0.5675
737,0.6386,0.5629,0.5676
738,0.6384,0.5631,0.5677
739,0.6382,0.5633,0.5678
740,0.638,0.5635,0.5679
741,0.637,0.5629,0.5673
742,0.636,0.5624,0.5667
743,0.635,0.5618,0.566
744,0.634,0.5613,0.5654
745,0.633,0.5607,0.5647
746,0.633,0.5608,0.5647
747,0.633,0.5609,0.5647
748,0.633,0.561,0.5646
749,0.633,0.5611,0.5646
750,0.633,0.5612,0.5646
751,0.6336,0.5618,0.5652
752,0.6342,0.5625,0.5658
753,0.6348,0.5632,0.5663
754,0.6354,0.5639,0.5669
755,0.636,0.5646,0.5675
756,0.637,0.5655,0.5683
757,0.638,0.5663,0.569
758,0.639,0.5672,0.5698
759,0.64,0.5681,0.5705
760,0.641,0.569,0.5713
761,0.6406,0.5688,0.571
762,0.6402,0.5687,0.5707
763,0.6398,0.5686,0.5705
764,0.6394,0.5684,0.5702
765,0.639,0.5683,0.5699
766,0.6344,0.564,0.5654
767,0.6298,0.5598,0.5609
768,0.6252,0.5556,0.5565
769,0.6206,0.5513,0.552
770,0.616,0.5471,0.5475
771,0.6124,0.5436,0.5437
772,0.6088,0.5401,0.54
773,0.6052,0.5366,0.5362
774,0.6016,0.5331,0.5325
775,0.598,0.5297,0.5287
776,0.5948,0.5272,0.526
777,0.5916,0.5248,0.5233
778,0.5884,0.5223,0.5206
779,0.5852,0.5199,0.5179
780,0.582,0.5174,0.5152
