"強度
\
波段",Purplish blue,,
,,Algorithm,Regression
380,0.099,0.0641,0.0605
381,0.1032,0.0666,0.063
382,0.1074,0.069,0.0654
383,0.1116,0.0715,0.0679
384,0.1158,0.074,0.0704
385,0.12,0.0764,0.0728
386,0.126,0.0798,0.0763
387,0.132,0.0832,0.0797
388,0.138,0.0866,0.0832
389,0.144,0.09,0.0866
390,0.15,0.0934,0.0901
391,0.1578,0.0977,0.0944
392,0.1656,0.1019,0.0988
393,0.1734,0.1062,0.1031
394,0.1812,0.1105,0.1075
395,0.189,0.1148,0.1119
396,0.1974,0.1194,0.1166
397,0.2058,0.124,0.1213
398,0.2142,0.1286,0.1261
399,0.2226,0.1333,0.1308
400,0.231,0.1379,0.1356
401,0.2384,0.1417,0.1397
402,0.2458,0.1455,0.1439
403,0.2532,0.1493,0.148
404,0.2606,0.1531,0.1522
405,0.268,0.1569,0.1563
406,0.273,0.1595,0.1594
407,0.278,0.1621,0.1624
408,0.283,0.1647,0.1655
409,0.288,0.1674,0.1685
410,0.293,0.17,0.1716
411,0.2966,0.1718,0.1737
412,0.3002,0.1737,0.1758
413,0.3038,0.1755,0.178
414,0.3074,0.1774,0.1801
415,0.311,0.1792,0.1822
416,0.3136,0.1806,0.1837
417,0.3162,0.1819,0.1852
418,0.3188,0.1832,0.1867
419,0.3214,0.1845,0.1882
420,0.324,0.1858,0.1897
421,0.3262,0.187,0.1909
422,0.3284,0.1881,0.1921
423,0.3306,0.1893,0.1933
424,0.3328,0.1905,0.1944
425,0.335,0.1916,0.1956
426,0.3376,0.1929,0.1969
427,0.3402,0.1942,0.1981
428,0.3428,0.1955,0.1993
429,0.3454,0.1968,0.2005
430,0.348,0.1981,0.2018
431,0.3506,0.1995,0.2031
432,0.3532,0.2009,0.2044
433,0.3558,0.2023,0.2057
434,0.3584,0.2037,0.207
435,0.361,0.2051,0.2083
436,0.3634,0.2066,0.2098
437,0.3658,0.2082,0.2112
438,0.3682,0.2097,0.2126
439,0.3706,0.2113,0.2141
440,0.373,0.2128,0.2155
441,0.375,0.2143,0.2169
442,0.377,0.2158,0.2183
443,0.379,0.2173,0.2197
444,0.381,0.2188,0.2211
445,0.383,0.2202,0.2225
446,0.3838,0.2212,0.2234
447,0.3846,0.2221,0.2244
448,0.3854,0.223,0.2253
449,0.3862,0.224,0.2262
450,0.387,0.2249,0.2271
451,0.3862,0.2251,0.2274
452,0.3854,0.2252,0.2276
453,0.3846,0.2254,0.2279
454,0.3838,0.2255,0.2282
455,0.383,0.2256,0.2284
456,0.3812,0.2252,0.2282
457,0.3794,0.2247,0.228
458,0.3776,0.2243,0.2278
459,0.3758,0.2238,0.2276
460,0.374,0.2234,0.2273
461,0.3714,0.2224,0.2267
462,0.3688,0.2214,0.226
463,0.3662,0.2204,0.2254
464,0.3636,0.2194,0.2247
465,0.361,0.2184,0.224
466,0.3578,0.2169,0.2229
467,0.3546,0.2153,0.2218
468,0.3514,0.2138,0.2207
469,0.3482,0.2123,0.2196
470,0.345,0.2108,0.2185
471,0.341,0.2087,0.2168
472,0.337,0.2065,0.2151
473,0.333,0.2044,0.2134
474,0.329,0.2022,0.2117
475,0.325,0.2001,0.21
476,0.3202,0.1973,0.2078
477,0.3154,0.1946,0.2055
478,0.3106,0.1918,0.2032
479,0.3058,0.1891,0.201
