"強度
\
波段",Moderate red,,
,,Algorithm,Regression
380,0.096,0.0603,0.0618
381,0.0984,0.0617,0.0633
382,0.1008,0.0631,0.0647
383,0.1032,0.0646,0.0661
384,0.1056,0.066,0.0675
385,0.108,0.0674,0.069
386,0.111,0.0693,0.0709
387,0.114,0.0712,0.0728
388,0.117,0.0731,0.0747
389,0.12,0.075,0.0766
390,0.123,0.0769,0.0785
391,0.1254,0.079,0.0805
392,0.1278,0.0811,0.0826
393,0.1302,0.0832,0.0847
394,0.1326,0.0853,0.0867
395,0.135,0.0874,0.0888
396,0.1368,0.0893,0.0907
397,0.1386,0.0912,0.0926
398,0.1404,0.0931,0.0946
399,0.1422,0.0951,0.0965
400,0.144,0.097,0.0984
401,0.1442,0.0977,0.0991
402,0.1444,0.0985,0.0997
403,0.1446,0.0992,0.1004
404,0.1448,0.0999,0.1011
405,0.145,0.1007,0.1018
406,0.1448,0.1006,0.1016
407,0.1446,0.1005,0.1015
408,0.1444,0.1004,0.1014
409,0.1442,0.1003,0.1012
410,0.144,0.1001,0.1011
411,0.1434,0.0999,0.1009
412,0.1428,0.0997,0.1007
413,0.1422,0.0995,0.1005
414,0.1416,0.0993,0.1003
415,0.141,0.0991,0.1001
416,0.1404,0.0988,0.0998
417,0.1398,0.0986,0.0996
418,0.1392,0.0983,0.0994
419,0.1386,0.098,0.0991
420,0.138,0.0978,0.0989
421,0.1372,0.0976,0.0988
422,0.1364,0.0974,0.0986
423,0.1356,0.0972,0.0985
424,0.1348,0.097,0.0983
425,0.134,0.0968,0.0982
426,0.1336,0.0967,0.0981
427,0.1332,0.0966,0.098
428,0.1328,0.0964,0.0979
429,0.1324,0.0963,0.0978
430,0.132,0.0962,0.0977
431,0.132,0.0961,0.0977
432,0.132,0.096,0.0977
433,0.132,0.0959,0.0976
434,0.132,0.0958,0.0976
435,0.132,0.0957,0.0976
436,0.1318,0.0957,0.0976
437,0.1316,0.0956,0.0976
438,0.1314,0.0955,0.0976
439,0.1312,0.0955,0.0975
440,0.131,0.0954,0.0975
441,0.131,0.0953,0.0975
442,0.131,0.0952,0.0975
443,0.131,0.0952,0.0975
444,0.131,0.0951,0.0975
445,0.131,0.095,0.0975
446,0.1306,0.0948,0.0973
447,0.1302,0.0946,0.0972
448,0.1298,0.0944,0.097
449,0.1294,0.0942,0.0969
450,0.129,0.094,0.0967
451,0.1288,0.0936,0.0964
452,0.1286,0.0933,0.096
453,0.1284,0.0929,0.0957
454,0.1282,0.0926,0.0954
455,0.128,0.0923,0.095
456,0.1276,0.0919,0.0946
457,0.1272,0.0915,0.0942
458,0.1268,0.0911,0.0938
459,0.1264,0.0907,0.0934
460,0.126,0.0904,0.093
461,0.126,0.09,0.0926
462,0.126,0.0897,0.0922
463,0.126,0.0894,0.0918
464,0.126,0.0891,0.0915
465,0.126,0.0887,0.0911
466,0.1258,0.0883,0.0906
467,0.1256,0.0879,0.09
468,0.1254,0.0874,0.0895
469,0.1252,0.087,0.089
470,0.125,0.0865,0.0885
471,0.1246,0.0859,0.0877
472,0.1242,0.0853,0.087
473,0.1238,0.0847,0.0863
474,0.1234,0.0841,0.0856
475,0.123,0.0835,0.0849
476,0.1222,0.0826,0.0838
477,0.1214,0.0817,0.0828
478,0.1206,0.0808,0.0817
479,0.1198,0.0799,0.0807
480,0.119,0.079,0.0797
481,0.118,0.078,0.0785
